x,y,r
2,2,22862424.43446271
3,2,6071967.893327854
251,2,6330704.61084939
252,2,26018644.23306368
253,2,148475271.16526872
2,3,16371952.135097547
3,3,5619775.426233059
251,3,6084154.461604581
252,3,19080919.516578175
253,3,82519331.4682084
2,4,5510196.838234395
3,4,2282280.931253501
251,4,2519598.469816808
252,4,6652941.887424659
112,26,37976.33184277374
113,26,27506.880758918043
114,26,12203.66227865838
110,27,200265.942811404
111,27,416100.28343526984
112,27,365565.09024293965
113,27,198871.18773209752
114,27,72605.349558986
115,27,14804.623431337272
91,28,13078.444990367694
109,28,237866.86513266852
110,28,924016.4478454815
111,28,1274309.724863665
112,28,1065396.6394169186
113,28,590579.2669142411
114,28,218338.84441208906
115,28,44336.46513598994
109,29,698508.9930592864
110,29,1602413.7590236627
111,29,2013056.9376097156
112,29,1660855.3610287015
113,29,926251.0128632645
114,29,337830.5400658336
115,29,64689.378915165886
108,30,153917.23658725672
109,30,795623.7389761541
110,30,1554513.8224046787
111,30,1836997.545514404
112,30,1462283.2810748084
113,30,783459.2900959104
114,30,265911.35774841195
115,30,43748.460992991975
64,31,24783.692812000038
65,31,64681.62359903238
66,31,95770.8266733877
108,31,162851.4547620261
109,31,574618.1231225472
110,31,974542.9774079511
111,31,1023672.4683109497
112,31,708569.1609039612
113,31,294462.64436303993
114,31,52645.60787944647
63,32,17411.163600965356
64,32,102064.10253174994
65,32,295196.66845316894
66,32,495129.6414434844
67,32,394368.36712068086
108,32,96946.70411945674
109,32,240783.4483491038
110,32,249808.54180371558
111,32,57309.618683333625
63,33,42657.97749911185
64,33,279618.0008850915
65,33,768432.9093435216
66,33,1248502.0317690573
67,33,1145714.6688391312
68,33,483606.95349284646
108,33,59278.50600396082
109,33,61001.57922697021
63,34,42828.70462607496
64,34,408067.76499861723
65,34,1130232.5428970694
66,34,1821928.5074291592
67,34,1750048.400811107
68,34,929105.3765317565
69,34,146208.65689670845
107,34,12097.888806608122
108,34,54908.39726801671
109,34,20459.717901590717
64,35,253533.5264390437
65,35,931477.1462623968
66,35,1631194.135824502
67,35,1665864.846487295
68,35,984459.6082181409
69,35,266638.69424380583
107,35,14325.230034299497
108,35,60279.553082202525
109,35,30811.44054222689
65,36,207818.92345469422
66,36,732957.8463179898
67,36,938401.7311341092
68,36,659511.0134371929
69,36,224942.82196215665
70,36,11025.61595868987
107,36,10626.672304260243
108,36,42116.55258067301
109,36,13119.943744810385
67,37,138519.96391951002
68,37,276672.66727791604
69,37,142959.07803602435
70,37,15291.411506455037
68,38,68870.02111320454
69,38,91383.4119113386
70,38,16022.21243090109
68,39,35528.10462077605
69,39,82918.75443540019
70,39,18232.253699576555
68,40,77592.56064221074
69,40,91938.58028022581
70,40,19092.808437109954
68,41,30397.79460549142
69,41,58508.702258404366
70,41,12162.915940224697
113,48,12949.366675744823
114,48,137817.2721267596
115,48,75540.67919273376
97,49,11621.59016806196
107,49,16093.499583309578
108,49,14244.858962207305
112,49,457854.7297296509
113,49,926383.5279759909
114,49,844564.7725153307
115,49,328874.3513673792
96,50,17073.79880349202
97,50,41297.258472271504
98,50,67409.40934310714
99,50,93081.04127420906
100,50,58613.735472998116
107,50,46893.88568069986
108,50,87377.77711704762
111,50,313835.09392521076
112,50,1309880.0145130395
113,50,1984810.4189314214
114,50,1629389.5401202245
115,50,546254.8209249588
96,51,43091.81348083382
97,51,133778.17958844887
98,51,288994.7212255534
99,51,491710.2889182399
100,51,494700.4647233306
101,51,157479.40939139534
107,51,97613.56943199079
108,51,240976.1992112447
109,51,218355.37925806124
110,51,206523.10640717222
111,51,662018.251008074
112,51,1709382.6958862338
113,51,2346592.909278913
114,51,1777765.2173676114
115,51,432188.2088198548
95,52,11242.991131091334
96,52,83932.2855757384
97,52,310971.44702389016
98,52,745035.7353046065
99,52,1328269.3833502978
100,52,1485131.603546019
101,52,777640.6124802826
107,52,95207.68747152324
108,52,539517.0787690158
109,52,768565.8013473009
110,52,770649.47638151
111,52,915942.7315871892
112,52,1428885.726678846
113,52,1704701.1327329334
114,52,1151209.5965940354
115,52,81081.49954817165
96,53,78051.07042559139
97,53,403812.8090198303
98,53,1146747.2772216818
99,53,2205407.4404840413
100,53,2664244.8716193982
101,53,1716611.2094269672
102,53,124223.68638618139
108,53,478460.97682522214
109,53,977476.3377039519
110,53,1117556.5980395346
111,53,1063654.4140052102
112,53,1025389.241846466
113,53,871890.7904581825
114,53,406194.7276321334
154,53,37449.39606792776
155,53,100071.29508266051
156,53,183195.9902004425
157,53,170175.2217563865
158,53,64176.33095514262
96,54,33398.810414510255
97,54,375143.2695512556
98,54,1226876.2591345273
99,54,2413327.8241680167
100,54,3012587.3031968824
