x,y,r
573,27,131707.76317945388
231,28,40150.3168832286
232,28,57103.861792241776
233,28,37655.44044592707
234,28,15668.44425789217
247,28,19115.617414481916
248,28,58142.47396929012
249,28,122412.76215504739
250,28,165047.09912615418
251,28,87820.15184386709
276,28,77075.78350570501
386,28,17901.778646110266
387,28,30899.641372852842
388,28,48999.19256511968
389,28,33367.31274354446
447,28,23371.24320424936
448,28,89475.03042893409
449,28,75659.94707583386
563,28,17468.176344844636
564,28,30870.569485473377
565,28,51312.71706302927
566,28,104546.97166003165
567,28,166626.7634320333
568,28,97948.60939414741
572,28,306907.3850418092
573,28,1127806.6313127785
229,29,404612.8268793896
230,29,908246.6793195459
231,29,861617.5439069713
232,29,556157.6770466159
233,29,265281.4170872639
234,29,88855.7662696977
235,29,19881.682907471757
246,29,12611.887769177412
247,29,57820.41956384025
248,29,190896.31527923886
249,29,440440.1265372846
250,29,723758.4787291567
251,29,817770.3217288302
252,29,515330.41571532225
275,29,291056.80035480275
276,29,458790.7104432817
384,29,13028.346186010196
385,29,41152.802134999714
386,29,88297.75340123157
387,29,189193.0472103299
388,29,371581.8703858418
389,29,573943.1655512807
390,29,602072.4344665034
391,29,275593.4833362311
447,29,140035.87980872864
448,29,484950.4653815018
449,29,640712.7064838514
450,29,128487.7413559414
507,29,191298.4697958813
508,29,305932.7534120645
509,29,244904.29731745523
510,29,142733.05556413913
511,29,57651.23544249682
562,29,14033.592804620377
563,29,46958.89465513792
564,29,100652.70218638689
565,29,224358.1647556089
566,29,501694.96473181405
567,29,882841.6664671442
568,29,1044784.4778259409
569,29,848535.2211162752
570,29,675241.6500411355
571,29,1278532.4014933724
572,29,1899877.223866681
573,29,3213858.4929405944
2,30,112824.88374839854
228,30,921587.3503951111
229,30,2559605.3809938384
230,30,3257102.156215279
231,30,2790117.928286953
232,30,1752476.5232477523
233,30,804011.1156279558
234,30,253045.11566909138
235,30,52356.92899615535
246,30,22931.223244181747
247,30,115729.57301304817
248,30,409569.95870575274
249,30,998077.1155508793
250,30,1742146.551825082
251,30,2224074.019572312
252,30,2024988.6939929049
253,30,1138113.0807593705
254,30,30738.89655250078
275,30,835587.4346167269
276,30,1016333.1234407162
277,30,225460.31524365814
384,30,27251.953375322693
385,30,76953.91114580605
386,30,191404.19840299617
387,30,470172.241502957
388,30,997868.5604213863
389,30,1673916.4610948495
390,30,2152675.989550799
391,30,2069467.677060577
392,30,1309094.2337151237
393,30,123985.0996280748
399,30,617214.1794303264
400,30,587153.8275643978
401,30,151379.41888604453
447,30,327227.1462529474
448,30,1092652.2941297553
449,30,1486567.7222576768
450,30,791481.7070063858
505,30,285099.9664632175
506,30,1299446.8118494868
507,30,1746655.1288289656
508,30,1566591.3941091388
509,30,1058485.895556256
510,30,549696.1017737245
511,30,217267.96867462184
512,30,61268.62514073959
562,30,23449.956354841703
563,30,75505.15583930537
564,30,201278.08952968044
565,30,553500.9273170922
566,30,1272240.6967374412
567,30,2128758.616293909
568,30,2527971.354992857
569,30,2320220.1832436533
570,30,2218366.8193608904
571,30,3484230.8556803125
572,30,4653712.004923435
573,30,6512275.529004688
2,31,411629.4294025269
227,31,534610.662566391
228,31,2509850.3261002153
229,31,4359251.804722628
230,31,4906343.697954977
231,31,3987973.638182579
232,31,2403327.2575801183
233,31,1044989.1804998966
234,31,307813.46459084
235,31,59723.618416089936
246,31,17821.21571008757
247,31,97443.11630263174
248,31,384044.5190064336
249,31,1041240.5409479424
250,31,2010110.9908179673
251,31,2858135.765844291
252,31,3040885.560789048
253,31,2371505.943846388
254,31,1225821.7228696314
255,31,183849.94442583865
274,31,203476.20344280696
275,31,1130477.8475762703
276,31,1277930.1605624817
277,31,394765.59351356584
370,31,120734.59845556319
371,31,246104.67831247067
372,31,290315.1509027942
373,31,263717.19506420544
374,31,188253.31238356547
375,31,91322.84708946402
376,31,16045.64510257775
383,31,12869.190921420734
384,31,33296.248779823785
385,31,74841.35881959638
386,31,183106.3879825037
387,31,482539.43155772745
388,31,1113796.9152539247
389,31,2040209.7696239045
390,31,2925216.295423233
391,31,3318553.2933615684
392,31,2939535.514231844
393,31,1900827.4173352788
394,31,664292.1027867144
398,31,631639.2173478873
399,31,1348153.3601998892
400,31,1269103.1256872253
401,31,598317.8456700747
447,31,127913.98365322454
448,31,1063411.443162789
449,31,1591792.1208881778
450,31,1036245.0826174645
451,31,39510.658218387514
504,31,529570.4244785332
505,31,1737785.5605010276
506,31,2659778.49274345
507,31,2819786.280980892
508,31,2249058.7779100984
509,31,1384289.0662200083
510,31,660038.5177237539
511,31,248670.02158770914
512,31,75738.56814219317
513,31,16741.119702835793
562,31,21756.462040447062
563,31,62329.79920374727
564,31,175716.8199585317
565,31,563452.0043435871
566,31,1435726.940237548
567,31,2528792.5632467545
568,31,3175902.992129848
569,31,3201696.5987486024
570,31,3248189.9548956635
571,31,4648829.71866215
572,31,5785209.366504637
573,31,7367364.118299227
2,32,632394.4132217988
3,32,146799.94436329528
120,32,17715.29931430453
121,32,18850.576175743205
122,32,14625.726416903548
226,32,109317.2510637687
227,32,1173266.039263344
228,32,2763192.87531655
229,32,4018502.1199546726
230,32,4135048.9955504015
231,32,3154962.507253468
232,32,1789043.4209329586
233,32,727370.4449473184
234,32,200559.55520078915
235,32,37268.81313806906
247,32,43618.41709583138
248,32,184617.64837721357
249,32,554762.9005683251
250,32,1199549.5635118496
251,32,1923164.5947188972
252,32,2355414.8064348283
253,32,2234475.1579861543
254,32,1637730.2087648218
255,32,893781.5411510707
256,32,285730.40322795906
271,32,65169.496056734526
272,32,73736.48520308919
274,32,273582.4324860786
275,32,1002870.6307545609
276,32,1101861.2546920767
277,32,389738.91204356926
368,32,46888.78287744266
369,32,298402.034913379
370,32,365582.1292547134
371,32,355363.7667774493
372,32,319767.87449301896
373,32,274335.1829369378
374,32,218572.17453023547
375,32,141810.13823632267
376,32,67074.8846205594
377,32,21573.74299818666
383,32,15799.884157966373
384,32,30360.68900139857
385,32,56251.54825945187
386,32,115136.62335940616
387,32,281228.84537833335
388,32,663644.6409078932
389,32,1302164.8076610928
390,32,2052449.101735999
391,32,2635866.6931251986
392,32,2764515.850832444
393,32,2336673.4888088573
394,32,1544652.6491958275
395,32,692469.8739754898
396,32,157734.87301699922
397,32,205064.3791454254
398,32,651898.9403374068
399,32,1008785.3872685703
400,32,845743.8324707651
401,32,224749.08555270126
448,32,404683.4796300174
449,32,919736.8707931832
450,32,700239.763030742
451,32,212566.78452541935
461,32,18698.949753880966
503,32,496430.0567538246
504,32,1251972.2806443127
505,32,2033675.8486887722
506,32,2459900.840760543
507,32,2289643.6967593045
508,32,1659109.0245202975
509,32,938782.5142663881
510,32,416707.8874677924
511,32,151561.95837081264
512,32,48236.818996623
513,32,13489.32026390641
562,32,12674.881851599093
563,32,31493.656691763154
564,32,87773.05015686702
565,32,324303.180355746
566,32,951716.0859189547
567,32,1862512.505965367
568,32,2590744.5385052687
569,32,2870130.9005643018
570,32,2892169.205010671
571,32,3608708.6984274
572,32,4070075.4041740466
573,32,4878023.079277957
2,33,565681.2110475744
3,33,182832.05829045345
117,33,16561.08927196092
118,33,41147.01792885512
119,33,55420.253832117116
120,33,55090.64379162124
121,33,46193.90246050438
122,33,34688.669302594826
123,33,21507.197941459963
124,33,12327.100218348542
225,33,16139.222859957197
226,33,274958.64443935157
227,33,842210.9568445579
228,33,1534072.1136223543
229,33,1929947.0184822301
230,33,1778040.2419714592
231,33,1219419.430487468
232,33,616162.1915652212
233,33,223755.21915703476
234,33,57605.92631201411
235,33,10965.210217405716
248,33,29518.988120309252
249,33,99127.42015620609
250,33,247251.2870988595
251,33,457912.69454621756
252,33,658999.5476279294
253,33,766291.8342765042
254,33,728651.5585828229
255,33,571003.636684368
256,33,360683.7166007762
257,33,166632.21005007133
258,33,40721.123168582155
271,33,74225.94971461708
272,33,57419.98083137069
273,33,18317.537171425152
274,33,217788.58556439274
275,33,602497.3638889152
276,33,643728.7142396998
277,33,264058.5026929547
367,33,54630.921835315006
368,33,170913.45907213556
369,33,224019.67185260053
370,33,189845.8922092684
371,33,111683.15311095677
372,33,32040.128410462057
384,33,16201.308711190639
385,33,27586.33493577416
386,33,47667.07955043758
387,33,97397.8727962762
388,33,210585.50206298358
389,33,407584.49823143997
390,33,663730.5279128748
391,33,925295.7087635329
392,33,1103313.8441471122
393,33,1102740.2268008706
394,33,907679.323891195
395,33,576640.0349644807
396,33,279476.7774464593
397,33,197594.98675520072
398,33,308483.58043824474
399,33,410641.6322918242
400,33,272586.8215427444
449,33,203679.1015032314
450,33,238598.96849648174
451,33,133776.21292968816
452,33,89348.10686508803
453,33,84112.17452884004
454,33,78043.66612413136
455,33,92415.68119061063
456,33,117103.84010461441
457,33,119645.95851441576
458,33,105033.26353511929
459,33,105413.68646648573
460,33,117832.94446456681
461,33,112477.34559231375
462,33,79394.4858392245
463,33,39057.091131870955
477,33,16396.649248070345
478,33,52378.78262290734
479,33,81641.19386704775
480,33,95671.93878760541
481,33,86740.40610871522
482,33,57044.495266168145
483,33,35539.96567857487
484,33,60029.78069848876
485,33,116831.43988068873
486,33,166731.5622639697
487,33,186359.04172892467
488,33,182353.95255498544
489,33,164219.93954871973
490,33,142379.984513961
491,33,122639.25853933496
492,33,102820.03519439335
493,33,76627.70991722688
494,33,47498.770657609544
495,33,25575.64111904738
496,33,14090.668395219858
