x,y,r
98,6,13470.124378399996
97,7,108044.61902274634
98,7,479700.3830768389
99,7,1189790.9334351995
100,7,1557018.565962457
201,7,124573.16684913402
202,7,97240.96327690146
203,7,23825.75585274642
96,8,13969.98648213577
97,8,492363.9900389238
98,8,2639974.331200175
99,8,7703272.375712659
100,8,14073561.691982329
101,8,11615532.543397618
198,8,6624014.390054341
199,8,11204836.285910472
200,8,7560831.410392905
201,8,3530336.2835456613
202,8,1111487.1932055028
203,8,179017.646505753
97,9,1150054.270605941
98,9,7509395.448246331
99,9,23019846.53165646
100,9,43578048.95468385
101,9,43691883.67702818
102,9,20559238.489213098
197,9,15291951.154893603
198,9,41253630.46301746
199,9,46308907.558819324
200,9,30255026.996417597
201,9,13428337.10543909
202,9,3888734.388900935
203,9,546906.1919145334
204,9,16613.123535845
97,10,1454624.605946098
98,10,13590797.398401504
99,10,42937870.46649397
100,10,78982068.21815546
101,10,83794292.62576902
102,10,50752909.028137155
103,10,5476248.776996799
196,10,1608078.516978167
197,10,63441248.75691929
198,10,122175228.92781976
199,10,137116120.7012387
200,10,106207100.96322349
201,10,51819918.97324976
202,10,15833099.949003533
203,10,2298873.6534265224
204,10,75254.85730143226
98,11,11133668.17077547
99,11,42421259.77134877
100,11,82572378.81249683
101,11,91746851.64556438
102,11,60981860.03520265
103,11,16061502.586631974
196,11,12105110.44436673
197,11,95849836.54329637
198,11,175682704.4611779
199,11,196244677.3134077
200,11,154578149.03814963
201,11,75637822.29428828
202,11,22935779.89230438
203,11,3240332.3768601483
204,11,93380.1059015455
99,12,19163895.963408317
100,12,48779455.901236035
101,12,59678895.91726643
102,12,43114715.21001127
103,12,14877803.059631187
147,12,1633611.52385354
148,12,2760601.4135890473
149,12,2531882.2183042383
196,12,14845088.940834697
197,12,101993567.9999353
198,12,183053265.0708743
199,12,201109795.7803023
200,12,154196303.40936178
201,12,74092512.37254176
202,12,21963884.50951494
203,12,2957690.4923750106
204,12,67181.12149673348
100,13,5058236.783897046
101,13,15595528.938284058
102,13,14736672.75968158
103,13,6143996.939270093
145,13,624928.6342151683
146,13,2552739.0113856657
147,13,5263279.984102248
148,13,8757210.327292297
149,13,13917812.851458034
150,13,18661996.8162703
151,13,13425173.022415936
196,13,9351151.656437326
197,13,81226645.47239426
198,13,144140783.23375726
199,13,153099653.04319313
200,13,108163786.5605848
201,13,49655597.85126347
202,13,14129510.330346284
203,13,1776443.264743537
204,13,24973.521284733666
147,14,982512.3318907679
148,14,7243443.980215706
149,14,22914439.744825818
150,14,44539361.36831893
151,14,45148911.50886721
152,14,21442463.51782716
197,14,40924514.75920897
