x ,	 y, 	 r 
2 , 2 , 37079884.615947135
3 , 2 , 12777249.97178002
507 , 2 , 13320110.990525553
508 , 2 , 41715035.97860153
509 , 2 , 180531486.10236633
2 , 3 , 12780429.221347205
3 , 3 , 5289072.088594377
507 , 3 , 5595313.443034972
508 , 3 , 14827019.742554657
256 , 125 , 22192.812200969536
257 , 125 , 28542.879475789734
258 , 125 , 23732.313500497658
259 , 125 , 12689.545193351387
274 , 125 , 11177.706794489119
275 , 125 , 11923.828196989356
255 , 126 , 11812.248669003176
256 , 126 , 15684.188542993255
257 , 126 , 11319.428054642824
291 , 136 , 10279.392067681341
292 , 136 , 15903.91627926852
293 , 136 , 19140.697870276967
294 , 136 , 20161.113570759597
295 , 136 , 19786.246592501135
296 , 136 , 16882.54883118423
297 , 136 , 11446.24282965536
291 , 137 , 23666.394305418253
292 , 137 , 47545.300137341015
293 , 137 , 72124.1908684357
294 , 137 , 87918.67966444683
295 , 137 , 87321.6823991593
296 , 137 , 66118.12860278525
297 , 137 , 38665.71905164922
298 , 137 , 19635.105283607794
290 , 138 , 21228.671375663744
291 , 138 , 53139.424979631796
292 , 138 , 98978.11695929355
293 , 138 , 143309.51789016812
294 , 138 , 172742.95261161434
295 , 138 , 169541.80838509547
296 , 138 , 120985.23445358075
297 , 138 , 63534.66185763513
298 , 138 , 31738.368793947524
299 , 138 , 14807.791391917097
289 , 139 , 15791.826139615665
290 , 139 , 31436.893691570505
291 , 139 , 58926.64335972187
292 , 139 , 86682.32558275438
293 , 139 , 120445.47168730809
294 , 139 , 177965.32740294933
295 , 139 , 218086.04665777623
296 , 139 , 172008.38910172938
297 , 139 , 87088.37504310772
298 , 139 , 43828.350788529075
299 , 139 , 21289.95245951873
294 , 140 , 118388.07972962869
295 , 140 , 285094.9801873703
296 , 140 , 275705.82620130567
297 , 140 , 149349.45752530574
298 , 140 , 73421.77081781621
299 , 140 , 33676.82189127089
294 , 141 , 117443.63183994108
295 , 141 , 426370.0232500437
296 , 141 , 444165.1405182902
297 , 141 , 259453.20821433887
298 , 141 , 126990.9306086181
299 , 141 , 53446.09016325543
300 , 141 , 13905.532952251873
294 , 142 , 221127.0570694129
295 , 142 , 585897.4840612649
296 , 142 , 587726.1489746
297 , 142 , 353701.3936674849
298 , 142 , 169387.13571767657
299 , 142 , 65104.57363249646
300 , 142 , 15853.526937923862
294 , 143 , 305796.9513413542
295 , 143 , 600385.5853606204
296 , 143 , 552854.5964910062
297 , 143 , 321097.9033806655
298 , 143 , 141080.28875441363
299 , 143 , 47407.458610644426
300 , 143 , 10977.631788036795
294 , 144 , 259114.26370938995
295 , 144 , 404041.7766297875
296 , 144 , 325649.05414848577
297 , 144 , 165516.34764747584
298 , 144 , 54776.43729343237
299 , 144 , 10546.423126240552
293 , 145 , 16873.769205083416
294 , 145 , 141773.63444586366
295 , 145 , 173935.1072541984
296 , 145 , 108856.37903894004
297 , 145 , 30644.783375014667
293 , 146 , 15694.581018562883
294 , 146 , 53832.80652611845
295 , 146 , 44152.807360030696
294 , 147 , 18363.525144508843
3 , 155 , 126064.76606281009
3 , 156 , 230579.29457154486
3 , 157 , 249189.56710440054
3 , 158 , 208861.65412955903
3 , 159 , 105481.4279556172
507 , 160 , 220806.35916174413
95 , 161 , 11461.530312277444
96 , 161 , 10670.92455388793
507 , 161 , 324799.49528790993
507 , 162 , 328632.8017122434
507 , 163 , 289606.4170527793
173 , 164 , 10152.81078240379
174 , 164 , 19042.15023335663
175 , 164 , 28558.806680371865
176 , 164 , 37595.95823966806
177 , 164 , 42888.279800844095
178 , 164 , 40574.137491875495
179 , 164 , 33406.77102761851
180 , 164 , 22988.83537894162
181 , 164 , 10294.508299043333
507 , 164 , 174994.68282028995
173 , 165 , 31696.34270952743
174 , 165 , 71465.18721678498
175 , 165 , 120673.50397831816
176 , 165 , 156619.15706728876
177 , 165 , 157737.6692206082
178 , 165 , 121963.25882933443
179 , 165 , 74557.26447352121
180 , 165 , 37022.97204507996
181 , 165 , 14975.86664106301
172 , 166 , 13596.740831311747
173 , 166 , 48648.763250482196
174 , 166 , 111177.22107521341
175 , 166 , 184531.21291306935
176 , 166 , 228801.24290807405
177 , 166 , 218906.68126772053
178 , 166 , 163133.87691471408
179 , 166 , 94990.05229159881
180 , 166 , 42974.71680941249
181 , 166 , 15381.754203919532
299 , 166 , 11029.766451172123
172 , 167 , 16644.71857702678
173 , 167 , 54409.67687352103
174 , 167 , 110172.24690345145
175 , 167 , 155375.55268746807
176 , 167 , 155235.93308588455
177 , 167 , 120710.54039590136
178 , 167 , 81860.55520257424
179 , 167 , 46675.24078666966
180 , 167 , 20595.196320159528
298 , 167 , 31451.38408343069
299 , 167 , 37958.47886140208
300 , 167 , 17694.47953510611
172 , 168 , 26732.868215405717
173 , 168 , 68938.84471246031
174 , 168 , 112820.85832547344
175 , 168 , 107854.72662750934
176 , 168 , 33154.387096214676
297 , 168 , 22833.512377233696
298 , 168 , 67533.31955372823
299 , 168 , 61451.43154314668
300 , 168 , 27455.871412219243
406 , 168 , 22687.33026241452
407 , 168 , 21656.056206287856
408 , 168 , 11430.096210406182
171 , 169 , 21114.783576156515
172 , 169 , 53106.97113837939
173 , 169 , 110103.56640544251
174 , 169 , 159261.58666454622
175 , 169 , 123892.99059105547
297 , 169 , 21856.072607676295
298 , 169 , 92347.64040958832
299 , 169 , 85234.03168032673
300 , 169 , 41157.66336992128
301 , 169 , 13077.70082752156
404 , 169 , 62016.7768823283
405 , 169 , 115241.21296971588
406 , 169 , 120922.29767287834
407 , 169 , 81417.87315433327
408 , 169 , 38152.19912812428
409 , 169 , 12383.910949645164
168 , 170 , 11558.738703181236
169 , 170 , 31855.234341296466
170 , 170 , 49689.03947500813
171 , 170 , 67276.03220545332
172 , 170 , 105667.33876058347
173 , 170 , 170092.47121160367
174 , 170 , 222225.61695590336
175 , 170 , 172218.6049401154
176 , 170 , 23760.312283885694
292 , 170 , 10411.914044670015
297 , 170 , 23849.772303066362
298 , 170 , 121468.71573866197
299 , 170 , 114610.51802114822
300 , 170 , 56968.93362704096
301 , 170 , 18252.206890559828
401 , 170 , 11764.204696738496
402 , 170 , 86068.07383922648
403 , 170 , 189490.33131421456
404 , 170 , 281027.55507156346
405 , 170 , 327432.5406631895
406 , 170 , 283310.52273177134
407 , 170 , 177652.92353200918
408 , 170 , 80176.98738873741
409 , 170 , 24984.506851815262
168 , 171 , 41621.316433489716
169 , 171 , 125564.04354981266
170 , 171 , 180344.16477289493
171 , 171 , 171648.1015238272
172 , 171 , 165874.35452325435
173 , 171 , 198770.3943507177
174 , 171 , 231940.04246211416
175 , 171 , 176763.05560069374
176 , 171 , 47924.91248484318
292 , 171 , 13688.984551608646
297 , 171 , 32939.87530728057
298 , 171 , 158530.79973951276
299 , 171 , 149464.20650630872
300 , 171 , 70830.00049175907
301 , 171 , 18108.02489717517
400 , 171 , 29617.922856428424
401 , 171 , 98577.2446905633
402 , 171 , 212783.53702986444
403 , 171 , 340830.80675945274
404 , 171 , 430162.46302987955
405 , 171 , 451184.75517849514
406 , 171 , 367832.54190660396
407 , 171 , 223638.16410670252
408 , 171 , 97303.79008644621
409 , 171 , 28821.868250195883
168 , 172 , 100301.36750321381
169 , 172 , 305295.98665288975
170 , 172 , 397298.8390161712
171 , 172 , 287068.044184267
172 , 172 , 159823.77125317487
173 , 172 , 129643.43138207722
174 , 172 , 149551.97484744998
175 , 172 , 119532.86557628238
176 , 172 , 41843.20302232966
292 , 172 , 13148.774465243056
297 , 172 , 56702.36344117994
298 , 172 , 196313.84770791844
299 , 172 , 176978.04063589495
300 , 172 , 75299.9925427905
399 , 172 , 11858.45733984355
400 , 172 , 41114.20846283218
401 , 172 , 102290.37947327315
402 , 172 , 191126.57573501294
403 , 172 , 284346.2819944033
404 , 172 , 341096.1665383711
405 , 172 , 346535.05376363767
406 , 172 , 283856.30094662943
407 , 172 , 174723.5833381096
408 , 172 , 73696.62837652623
409 , 172 , 19863.69849360511
168 , 173 , 196123.19842741278
169 , 173 , 529547.0711265625
170 , 173 , 616192.4482104987
