x,y,r
161,42,114.42980311650341
162,42,101.9614535468224
161,43,110.47173728615626
573,77,101.65136777575024
573,78,106.58509804887588
522,146,114.93061532430553
521,147,117.0484372287831
522,147,121.06058998328362
521,148,111.07629354965849
522,148,102.96358935735485
573,148,107.80967412209783
573,149,102.13934658902039
94,155,121.7981686552971
95,155,110.59433227560257
94,156,116.09646920626177
125,179,110.19810474701563
125,180,122.12236870798185
126,180,100.56922442930009
125,181,108.36379166426225
81,249,124.76882189804789
82,249,102.25743666284579
80,250,120.0889623165161
81,250,136.86767962720157
82,250,100.74112697172106
80,251,106.47713972129891
81,251,118.6274688892086
573,572,134.81522899302354
572,573,127.07967543482742
573,573,384.6329648247008
