x,y,r
107,27,114.49779132259596
106,28,112.90114878103758
107,28,142.68389674501034
108,28,122.42972000146786
106,29,117.04327790567856
107,29,146.1015804147324
108,29,124.12777339492152
158,55,100.33264983320714
159,55,114.36545583976287
159,56,110.31092219377952
168,60,112.99760710527272
168,61,115.6541009970863
349,95,109.60357635978637
305,96,106.45983452618272
347,96,108.78345918630555
348,96,146.0157858479598
349,96,131.6700634844008
305,97,101.1419917794463
347,97,136.38337388071236
348,97,159.03390605930565
349,97,124.01152300010052
347,98,130.16365143934274
348,98,141.88064243806122
347,99,105.6068255404201
348,99,106.78463242310825
381,99,113.14035907282113
63,102,124.39368400175962
64,102,113.1300094161701
62,103,109.68115907898665
63,103,130.83889290559648
64,103,107.20313936821267
63,104,112.37369524553472
83,119,118.0779478427181
82,120,116.61442137124624
83,120,141.8270865831692
84,120,115.6147886000183
82,121,114.89405302518782
83,121,140.57686044952123
84,121,116.42527069550437
55,164,103.31349740625261
53,165,106.8234169304877
54,165,140.69505260787366
55,165,127.74691501938408
53,166,122.68626881767717
54,166,148.59622575585774
55,166,123.45735843105594
53,167,108.56375222900027
54,167,128.5509675836902
55,167,101.4447319816631
381,380,114.69979064453571
380,381,129.71913653802517
381,381,376.2739240678095
