x,y,r
99,9,14736.599024539813
100,9,26774.069325195465
101,9,28422.97236217359
102,9,19558.177860468248
197,9,14307.301756513847
198,9,24540.294699482016
199,9,26145.388351247722
200,9,18079.309030339537
99,10,26480.426604077235
100,10,47736.60169391412
101,10,53847.18311618431
102,10,44124.49675735472
103,10,19433.082718501897
196,10,19983.891736315636
197,10,63902.989725842344
198,10,92864.138397384
199,10,103298.14449983815
200,10,89626.24720303468
201,10,39633.5733180274
202,10,13437.363839867729
99,11,27741.878361935887
100,11,53216.68886097506
101,11,62152.00256970155
102,11,53529.285363345334
103,11,28372.95098720646
196,11,33859.532217430846
197,11,91087.78372555677
198,11,128755.5291258808
199,11,142615.10254311247
200,11,124486.27445756228
201,11,54638.09403871219
202,11,18387.472607873133
99,12,18340.854895789747
100,12,42664.89542633429
101,12,52615.53958956494
102,12,47026.77734981464
103,12,26963.048966070543
196,12,37244.47367186069
197,12,95867.58002102817
198,12,133245.78282722415
199,12,145346.10671046365
200,12,123983.95661325647
201,12,54006.16094351663
202,12,17966.543886254312
100,13,19131.159697688723
101,13,28350.947310003023
102,13,27258.84242252879
103,13,16676.32748563921
148,13,10507.815155762175
149,13,15328.89843134382
150,13,15049.824647585494
151,13,10527.812717285657
196,13,30419.41990529789
197,13,78996.24276055903
198,13,107103.70882020595
199,13,113001.57716750077
200,13,90598.48865877751
201,13,39231.87792904138
202,13,12869.875059481808
149,14,14463.150453561793
150,14,27439.71342430135
151,14,29880.222556144698
152,14,21079.38841607444
196,14,12726.263423204662
197,14,38916.17310275615
198,14,48027.664660833936
199,14,42108.12905760264
200,14,19964.902692381882
149,15,26313.68366729565
150,15,48706.365892098576
151,15,55677.06151750344
152,15,46419.41765759044
153,15,21406.340902865086
197,15,12393.036098274319
198,15,17395.97140312055
199,15,16115.760183077251
149,16,27297.297170273654
150,16,54172.38939916407
151,16,64015.906159594364
152,16,56178.807855812396
153,16,30525.839177018956
149,17,18657.005109647092
150,17,44523.16294062217
151,17,55239.68427972375
152,17,49983.0251423411
153,17,29021.767850127828
150,18,19264.439003708416
151,18,29275.698224508575
152,18,28732.394908745977
153,18,17862.158561069555
100,36,19419.029253993078
101,36,30633.80735739984
102,36,30253.33798741859
103,36,19046.478052467366
145,36,19484.151868174562
146,36,33592.08246239299
147,36,38048.1649496823
148,36,31859.4481674247
149,36,14090.85378647147
99,37,15026.420890522015
100,37,46098.76669180295
101,37,59941.90149288133
102,37,55464.09593667927
103,37,33264.63208099687
145,37,34239.41352550847
146,37,61084.394808978315
147,37,71890.7427020103
148,37,65554.06127954475
149,37,40558.35191869699
150,37,12902.33832845258
99,38,25975.790476230733
100,38,61280.60742870721
101,38,75987.99872131454
102,38,68470.88309451423
103,38,39212.16748411805
145,38,39203.91660160988
146,38,72035.08625216044
147,38,85332.82646822947
148,38,78361.44946437242
149,38,49877.48873921239
150,38,17984.18727249939
99,39,27294.378616993767
100,39,60802.1102996606
101,39,74234.54895032928
102,39,65424.974713914795
103,39,34582.43927656885
145,39,33704.22235075569
146,39,66582.23285743417
147,39,79720.88480095164
148,39,72473.37750530508
149,39,44254.499179375794
150,39,16887.060632656932
99,40,18727.586953502476
100,40,44714.13805683513
101,40,54626.766500429585
102,40,46183.269694440896
103,40,19180.13505930189
145,40,16623.77237100786
146,40,42342.995690495765
147,40,51999.41908484524
148,40,45077.50673046997
149,40,21812.080716373945
100,41,18682.698406261625
101,41,21807.889934496907
102,41,16880.168837461555
146,41,14142.412065425175
147,41,19537.944076035885
148,41,17732.287842583602
195,41,13385.677566243176
196,41,18805.528796362116
197,41,16070.16167058968
198,41,12785.63880902477
194,42,11174.100472753964
195,42,27142.64136643676
196,42,28673.267205504184
197,42,20664.737734870752
198,42,14599.93026960798
193,43,16373.247835191332
194,43,23970.181517926823
195,43,34537.53945062785
196,43,29100.64262333254
197,43,17345.765544883216
198,43,10609.847121022325
192,44,17359.38791104249
193,44,24463.25551131591
194,44,24717.185466863004
195,44,27144.05060566483
196,44,17864.562003059596
192,45,18463.034122762678
193,45,18036.786166070688
194,45,11529.406500979603
105,67,10666.694316901936
106,67,15661.748669266544
107,67,20848.88290925604
108,67,15024.869664795648
172,67,15593.356081047634
173,67,14479.21849951621
105,68,18294.049586586167
106,68,30313.808354245062
107,68,46654.37107209312
108,68,42505.7249530908
109,68,29376.1948465858
110,68,29503.113666381614
111,68,15290.723468042146
171,68,22320.353830280594
172,68,41018.883646512004
173,68,46028.68216578329
174,68,35296.382423886695
175,68,17671.462871043947
104,69,11884.221182740263
105,69,23489.902543662243
106,69,38220.13465995045
107,69,57271.21551179339
108,69,51182.55055795374
109,69,34670.82980010161
110,69,38012.84235798553
111,69,23497.60633608255
171,69,30258.19256215507
172,69,54657.07791341113
173,69,62864.51910716711
174,69,51030.499243544946
175,69,27375.570264655846
105,70,18451.244235609523
106,70,29509.99369339351
107,70,44063.06389768587
108,70,39486.86890863251
109,70,25441.02295308019
110,70,28532.11575510301
111,70,17410.138858650043
171,70,20619.389658114058
172,70,40908.89663110094
173,70,49016.76880107217
174,70,40291.37830661821
175,70,21334.883885092582
105,71,13417.589548561613
106,71,20137.557301724886
107,71,26984.860172325625
108,71,21073.65947855495
172,71,15709.44380669116
173,71,19423.82802518769
174,71,14505.29413874874
188,91,12213.955468858825
189,91,15309.798453843505
190,91,12676.45495534718
189,92,20079.881948637187
190,92,28193.095538572146
191,92,34673.81337590977
192,92,36912.60258608189
193,92,30000.712305007848
194,92,17395.981030770843
189,93,12189.10701636212
190,93,26495.013287445385
191,93,43155.55049268247
192,93,55418.2706248711
193,93,58750.539141629975
194,93,49891.34433282279
195,93,35630.00242822348
196,93,19034.12355568519
190,94,14124.480053484931
191,94,36254.34699096324
192,94,56183.366703533175
193,94,67842.71640619852
194,94,66225.24571919686
195,94,60348.480763826614
196,94,39852.95599680542
197,94,21367.718466333128
191,95,19294.679700096778
192,95,41565.16816285534
193,95,59626.39832458478
194,95,65716.48714075545
195,95,68382.4659960961
196,95,53255.71312709351
197,95,31846.298318711742
198,95,16994.345294900966
192,96,16428.560143057264
193,96,35892.13874250685
194,96,48752.980556867115
195,96,58933.912988636795
196,96,52066.306386701704
197,96,36023.527912940335
198,96,21449.405681570097
199,96,10337.92676754669
194,97,20074.366837928334
195,97,33679.477685694466
196,97,35527.014268357656
197,97,27981.661655140055
198,97,18730.267056804405
195,98,14877.796112231114
196,98,18404.679871762677
197,98,15468.30513048103
198,98,10557.667009881481
79,114,13404.294760066456
80,114,20738.7633283557
81,114,23017.724438699748
82,114,14893.895280748859
117,114,15192.431411575712
118,114,24531.340817074008
119,114,25755.270769781015
120,114,17613.817486027023
140,114,14985.06517997272
141,114,15693.257325618013
173,114,13008.63958825154
174,114,13675.378052052076
189,114,14849.924074931214
190,114,27104.685425162377
191,114,28938.345894730468
192,114,19998.603305437166
235,114,11625.015014950946
236,114,17649.93661540575
237,114,17903.72852777962
238,114,11938.793417508197
79,115,21579.99069790769
80,115,35471.74801268625
81,115,44100.76814998931
82,115,38379.60142241728
83,115,18134.650647080984
116,115,17879.89730586031
117,115,44178.89454650489
118,115,56337.118078953004
119,115,55249.12517323349
120,115,40305.64123644685
121,115,16233.098818173465
139,115,17289.48038152117
140,115,30843.66024305817
141,115,34185.25338134046
142,115,26402.096114782893
143,115,11942.078519163091
172,115,23287.036630156676
173,115,31194.146762121745
174,115,31591.596023136786
175,115,23285.620755811266
176,115,10111.181667233432
189,115,26612.72771787412
190,115,48428.092810186834
191,115,54996.755639943454
192,115,45272.676153019245
193,115,20659.547210796787
234,115,12597.411546147352
235,115,30400.438314416882
236,115,38624.73242143468
237,115,37844.69805911869
238,115,27555.553195698332
239,115,11381.923508165331
79,116,19787.58201462442
80,116,35648.19843311625
81,116,48900.15287020581
82,116,49514.5772156716
83,116,34756.83636250376
84,116,13884.551532494323
116,116,28491.968936406716
117,116,55735.56906357854
118,116,67406.2469914275
119,116,64432.2185777273
120,116,46747.127026334754
121,116,17867.578930915017
139,116,21711.891777589983
140,116,40662.14387314134
141,116,46539.376726118135
142,116,37899.015611300536
143,116,20291.40188296764
171,116,16061.962628108704
172,116,32039.80596041528
173,116,41097.02257097655
174,116,40809.83056087942
175,116,29950.974849168382
176,116,12338.384204928376
189,116,27902.962292008324
190,116,54190.08974806084
191,116,63754.970637041566
192,116,55215.5743065684
193,116,29997.693344112973
234,116,18884.135040438196
235,116,38192.78903791266
236,116,46909.784099307406
237,116,45327.28549871091
238,116,33016.60050481603
239,116,12957.71775389797
79,117,12798.46692801618
80,117,25489.86873919638
81,117,37250.20884096078
82,117,41911.8783473272
83,117,36622.74859564674
84,117,22591.603465921864
116,117,27782.87080704403
117,117,49695.50289233677
118,117,58402.68982337708
119,117,54319.443587937356
120,117,37906.00396097981
121,117,13371.41701442646
139,117,17523.51818586787
140,117,38317.27972864654
141,117,46115.02739679645
142,117,39316.63019333607
143,117,22560.932524398322
171,117,16689.387532132398
172,117,31193.12909685291
173,117,38798.40725097566
174,117,37457.43639899086
175,117,26248.09420990154
189,117,18681.353663673475
190,117,43919.15681542019
191,117,54445.560582180915
192,117,48877.72782583089
193,117,28520.257544998494
234,117,18194.09022377027
235,117,34253.390550654374
236,117,41127.673085844064
237,117,38864.264760066384
238,117,26857.10901188771
81,118,15793.655390893695
82,118,17995.685811422783
83,118,19352.747360568268
84,118,15456.248843520165
85,118,10292.350448203666
116,118,17338.94470766151
117,118,29070.89583209589
118,118,32707.70490487112
119,118,28303.281620404763
120,118,16358.044449684883
140,118,21320.310197263614
141,118,29249.379711450936
142,118,26813.974788233732
143,118,16389.33861593344
171,118,11434.803834709308
172,118,20204.12906752708
173,118,23848.972894817423
174,118,21204.50269884614
175,118,11775.628941859788
190,118,18600.957736974327
191,118,28523.343990332818
192,118,27867.30615786312
193,118,17415.545719567323
234,118,11618.619493917078
235,118,20820.305493154054
236,118,23999.111063670844
237,118,20798.292850828533
238,118,10663.832557740929
190,140,17856.316166336226
191,140,29565.106159129842
192,140,29939.33546473275
193,140,18993.46771151298
234,140,12069.704156278602
235,140,20847.893254722647
236,140,23707.039729202566
237,140,19661.898468111183
140,141,20633.957058994547
141,141,31374.800273673452
142,141,30620.217409978246
143,141,19162.972755443137
171,141,12491.142140886312
172,141,21595.134626796666
173,141,24841.75622247658
174,141,21150.35286077629
175,141,10214.41333031176
189,141,15102.16138062791
190,141,46221.20426926375
191,141,60389.157590362505
192,141,56361.68393751104
193,141,33725.935419467816
234,141,20767.21076498765
235,141,37281.064545664645
236,141,43941.48850174787
237,141,39693.658980803906
238,141,24443.286318891674
139,142,16357.726139122664
140,142,47400.357415146034
141,142,60908.33649917911
142,142,55920.455730071444
143,142,33273.60886578837
171,142,21593.320361185077
172,142,38600.98537745754
173,142,45852.39257991456
174,142,41879.58732787564
175,142,26455.614184444963
189,142,24852.946350346727
190,142,60314.211053255174
191,142,75356.7875433936
192,142,69051.82478586474
193,142,39765.71649770982
234,142,23946.104384149086
235,142,44694.491851319915
236,142,53056.38325288001
237,142,48344.334771489914
238,142,31021.389494627158
239,142,11118.455451956299
139,143,26802.812952153
140,143,61487.94537930678
141,143,75657.92784286072
142,143,67930.36048253057
143,143,38550.211322106676
171,143,24773.204005803273
172,143,45707.443314476324
173,143,54575.914234682845
174,143,50042.95009236261
175,143,32158.0484985289
176,143,11889.263017296595
189,143,27061.814536353497
190,143,61350.48740898809
191,143,75123.2422695984
192,143,67096.53590166011
193,143,35735.44726552378
234,143,20507.408737443562
235,143,41276.28469283694
236,143,49115.27251340314
237,143,44060.54672877103
238,143,26977.056517419867
239,143,10028.394756764545
139,144,27562.34228047246
140,144,60043.75331876715
141,144,72822.05947294616
142,144,63933.97106886712
143,144,33241.48348536615
171,144,21109.000510297097
172,144,41771.397468352865
173,144,50087.037836855685
174,144,45188.805401004596
175,144,27439.73985655358
176,144,10617.711393395353
189,144,18795.44243976289
190,144,45775.47994541326
191,144,56202.16851564612
192,144,48085.119130120525
193,144,20532.362428868095
234,144,10049.619591301926
235,144,26725.760783364694
236,144,32215.430184375226
237,144,27432.24307345539
238,144,13466.229344970518
139,145,18321.494921151774
140,145,43115.65112943849
141,145,52532.9871011603
142,145,44010.289500705185
143,145,17280.81497741817
171,145,10217.681608328741
172,145,26336.690541017604
173,145,32124.902411425293
174,145,27374.397573701775
175,145,12679.525604818202
190,145,19241.43405909305
191,145,22669.150753438338
192,145,17779.62910193041
236,145,12076.368787996953
237,145,10704.153861135226
140,146,17819.13106177777
141,146,20643.81003437732
142,146,15634.908432303444
173,146,11883.389583638997
174,146,10589.659962614114
116,148,10502.362082266765
116,149,18037.04595951532
117,149,20908.21313527548
118,149,11060.144069394682
116,150,25863.47103170307
117,150,36616.0116496703
118,150,29320.247553717672
119,150,11920.347957789278
116,151,32209.1589101751
117,151,51078.79095252455
118,151,48985.664449369935
119,151,31461.60596121383
116,152,36311.75052647451
117,152,61912.72461165133
118,152,66991.07810199766
119,152,52639.994527799194
120,152,24823.193896108605
116,153,29964.710969539796
117,153,56405.18968761491
118,153,65846.03424979058
119,153,56399.016850178996
120,153,29936.235941224364
