x,y,r
2,2,19099.14285404668
3,2,10226.666049989399
315,2,10917.474778228203
316,2,21710.53998958267
317,2,104011.43812123667
2,3,18020.183951261257
3,3,10356.122980946611
315,3,11304.398821188879
316,3,21019.37174918388
317,3,84691.41690418922
2,4,11119.564756212327
316,4,13330.230440802714
317,4,33971.237280862566
317,95,17127.21360414569
317,96,22067.175160618786
317,97,16923.32524018616
220,136,12035.410930048565
221,136,10073.056674399566
219,137,10664.865564434433
220,137,12205.040691732982
243,232,11906.126318455103
244,232,13165.186601196892
243,233,14516.517861047612
244,233,15664.431175063564
243,234,14220.774561324255
244,234,15022.246525487533
244,235,10068.632721389562
317,237,10055.60620994521
317,238,16804.321461944157
317,239,22345.90280252659
317,240,21861.204949048424
317,241,23635.14083999987
316,242,10076.209330570176
317,242,27241.778837023878
317,243,12544.859151818833
317,261,12255.635832230866
317,262,16233.716753515158
317,263,17503.429777353067
317,264,16759.533456869223
317,265,14557.722185020026
2,308,10505.634328037606
2,309,12142.232647656994
2,315,10424.587433415429
2,316,19358.194727175687
3,316,11499.56544569265
2,317,75283.72969471115
3,317,26169.509937996307
38,317,13213.218428691624
39,317,11921.454091134314
317,317,32654.533464756798
