x,y,r
717,97,10274.047067055912
717,98,10344.76227067909
653,182,10430.73615707543
652,183,11993.392213004108
653,183,13213.432245966189
652,184,13297.459547804208
653,184,12369.615223470173
652,185,10876.021228888309
717,185,11841.71667134268
717,186,12026.776386167403
101,312,11313.587571389802
102,312,12009.644444052692
101,313,11922.100390559834
102,313,11979.337844672142
717,716,32097.937886468364
715,717,11551.703481344917
716,717,39941.56884573019
717,717,253784.7211365798
