x,y,r
2,2,3245.0396620788833
3,2,1663.6849901029561
379,2,1675.7743130687988
380,2,3399.554792515985
381,2,5574.645747240735
2,3,1664.8294216194051
3,3,1239.5087162404118
379,3,1273.9904763228574
380,3,1831.3944127767095
381,3,2034.7436359984517
220,101,102.41942227473544
217,102,104.74347078034724
218,102,165.31326089229324
219,102,201.53506208677086
220,102,213.5381831635617
221,102,196.4682991323326
222,102,153.40923207727687
223,102,104.01002931150474
216,103,110.1978457268653
217,103,185.05908923628053
218,103,237.6578470438437
219,103,269.00828702298946
220,103,279.3431766771931
221,103,255.44283554941592
222,103,194.66254927486085
223,103,129.1446452753492
216,104,107.42218832397435
217,104,146.71141152864914
218,104,172.55623451012102
219,104,210.69795333135158
220,104,248.0081790176736
221,104,252.7209223768884
222,104,203.9649263904471
223,104,137.92231070024914
219,105,129.67690040146195
220,105,210.91269084908
221,105,264.272977458073
222,105,237.85287210223063
223,105,171.28132530980187
224,105,124.27174935963816
220,106,228.93357717394233
221,106,330.20294980238185
222,106,316.5470871508256
223,106,233.7928448010941
224,106,165.891502214014
219,107,106.45510973600331
220,107,277.8127041049788
221,107,412.59682120074456
222,107,398.71561331428484
223,107,289.9315424793735
224,107,190.84116728238706
219,108,118.7050671240496
220,108,307.1386996087463
221,108,439.18491921007
222,108,399.855581846187
223,108,262.9960127189962
224,108,147.4872704348815
219,109,121.17873144102273
220,109,287.3065164266101
221,109,350.9367862582886
222,109,258.06529005141635
223,109,128.2501404697363
219,110,117.19437698824217
220,110,217.19950603244374
221,110,194.3302255813097
222,110,109.80156497128982
220,111,103.00184094852285
2,115,113.26445994622802
3,115,131.03580683161996
2,116,161.35753354522714
3,116,187.54840507768176
2,117,180.25944181371003
3,117,211.08161642587305
2,118,177.64896481315253
3,118,207.28739407417248
2,119,150.41591131091437
3,119,174.76049568961682
379,119,172.58824172694096
380,119,163.59810581043882
381,119,158.78471959942286
3,120,112.83832152378434
379,120,215.1297233593013
380,120,197.73367527441937
381,120,197.90080251802294
379,121,222.44840360158085
380,121,199.04952211592945
381,121,202.45722171379003
133,122,107.80829578252184
134,122,107.79038271134877
379,122,214.53214228942696
380,122,196.51130214277973
381,122,196.72488095415542
130,123,126.48197009071167
131,123,183.93869927030278
132,123,235.64112240937752
133,123,258.8050908613745
134,123,237.19590101153213
135,123,182.8733701391599
136,123,111.19775086024848
379,123,177.04242901078183
380,123,169.82687785126853
381,123,163.52299714914759
129,124,104.20314091191533
130,124,189.2618083959946
131,124,271.97865993780954
132,124,327.35721858932936
133,124,347.42122288687
134,124,320.2848824054606
135,124,247.54431737547225
136,124,163.89874404655095
129,125,116.9257951469129
130,125,193.99195834304413
131,125,256.37172651246965
132,125,275.15950072419145
133,125,261.73188316441673
134,125,229.42043170233453
135,125,168.1894639519613
136,125,105.84919277857342
224,125,103.45685320457274
129,126,128.31588893103617
130,126,169.31611860083638
131,126,184.56154309868936
132,126,150.46300271015124
133,126,101.19983760829847
223,126,132.45740655897515
224,126,166.052154106729
225,126,150.35275824162207
302,126,107.28925000042022
303,126,139.4659463645998
304,126,141.94551104575436
305,126,119.33406185056553
126,127,129.82172871643414
127,127,157.4653103558049
128,127,149.9429484907601
129,127,152.46456667786825
130,127,174.68691913407113
131,127,173.11287486494683
132,127,108.0284631595676
223,127,166.98892066473837
224,127,227.24130163325626
