x,y,r
2,2,5258.571933148038
3,2,2112.253655047757
187,2,2080.996628794438
188,2,5258.571933148042
189,2,6381.7096805156325
2,3,2112.253655047757
3,3,2164.019505947212
187,3,2164.019505947212
188,3,2365.1169236404285
189,3,2124.1664233223173
121,42,2.3147656626058506
122,42,5.211008912516718
123,42,8.432734521251405
124,42,8.771455038461909
125,42,6.271984964014564
126,42,3.912220597649707
127,42,2.0587193983032535
128,42,1.0948708232019158
50,43,1.7890769525011194
51,43,3.2379080607071558
52,43,4.898490648656264
53,43,5.154618460197071
54,43,4.203158767336163
55,43,2.217254501820662
95,43,1.3149772302158453
96,43,1.4047727239369578
97,43,1.1225028522867433
98,43,1.2613407922879105
99,43,1.9288200564465114
100,43,2.004898678170548
101,43,1.6880658041288825
102,43,1.2662829965217952
103,43,1.5688622962327372
104,43,1.4441588100678473
120,43,1.294782325824599
121,43,5.737424254349662
122,43,13.921289921356674
123,43,24.61341515674758
124,43,27.77806241115036
125,43,21.593585614983795
126,43,13.436020802276744
127,43,7.162217374914462
128,43,4.361814566057092
129,43,2.5062412666208047
130,43,1.0156860283623246
49,44,2.176331884061767
50,44,7.236187440452397
51,44,15.948542447966247
52,44,25.68864736946557
53,44,27.278551217007134
54,44,20.074654470385667
55,44,8.964833154334201
56,44,1.9685355089281984
92,44,1.0412321275580325
93,44,3.5749479638052435
94,44,7.464581223031473
95,44,10.083315173087612
96,44,10.592774780800255
97,44,9.486961274090845
98,44,9.465324390491105
99,44,10.664034034020915
100,44,11.545732286744624
101,44,12.064435804181585
102,44,12.25206689128413
103,44,12.381549285908704
104,44,10.116086643426797
105,44,6.21519404969149
106,44,2.586729502232629
120,44,2.478449044077479
121,44,9.729017914801716
122,44,24.739811213856683
123,44,46.03639967160325
124,44,54.59028361844412
125,44,45.43571002084718
126,44,29.881904354009976
127,44,16.990609100913616
128,44,11.176517066420274
129,44,7.395859420845568
130,44,4.00334468581525
131,44,1.788512672604213
49,45,5.061035859816116
50,45,17.943348380598536
51,45,41.319594244174596
52,45,65.72417319186911
53,45,67.13403411149329
54,45,45.94281699114026
55,45,18.664092198067465
56,45,3.7452412152279067
90,45,2.419664256546639
91,45,5.554374192648083
92,45,12.182270476765552
93,45,22.599796829749266
94,45,34.00676083853614
95,45,40.71631277706865
96,45,40.37344835122667
97,45,33.67227841351496
98,45,27.909081058080574
99,45,27.07647986390475
100,45,31.553364155474583
101,45,39.039408115284914
102,45,44.83050386660602
103,45,46.05554359987582
104,45,39.11798069343786
105,45,27.49286483368951
106,45,16.126716505397326
107,45,9.150283613746979
108,45,4.442457096296039
109,45,1.9906860745181802
116,45,1.199198697015163
117,45,1.2720326325288625
118,45,1.3030920229080039
119,45,1.6698962139885225
120,45,3.7091292614909435
121,45,12.981364100814972
122,45,33.80430838319489
123,45,64.96097602272675
124,45,80.22668320718685
125,45,71.40275419237287
126,45,51.04887222786283
127,45,32.40047299396383
128,45,22.494716407021315
129,45,15.697390333878502
130,45,9.949671304446156
131,45,5.872314462276336
132,45,3.3453388173142002
133,45,1.626537375763462
48,46,1.3239664548731866
49,46,8.937632876485964
50,46,31.15071433808066
51,46,71.40408286190268
52,46,110.9638061147225
53,46,110.75069655510924
54,46,72.761630087492
55,46,28.029002568480337
56,46,5.502225001771421
57,46,1.1476187868811394
87,46,1.2037300777228666
88,46,3.7166313286425066
89,46,9.41728956570978
90,46,17.989335482797287
91,46,30.075486816986086
92,46,47.87718596276409
93,46,67.57811077992665
94,46,83.51858449824113
95,46,89.5051691952201
96,46,82.55568577998338
97,46,64.86834738476205
98,46,48.894300038509755
99,46,44.089615869819
100,46,53.0944758225628
101,46,70.97819520240637
102,46,87.86699353016525
103,46,93.68374222680563
104,46,84.46670787559856
105,46,65.56218610832957
106,46,45.83569246352954
107,46,30.752445781404276
108,46,19.01918958678789
109,46,10.805293034456554
110,46,5.751679129070908
111,46,2.601477029290436
115,46,1.4136805833986728
116,46,1.8055360227699566
117,46,1.9517981227290875
118,46,2.007632535076482
119,46,2.36754284987137
120,46,4.287941842712371
121,46,13.578457274269113
122,46,35.74327150065619
123,46,69.50110617412702
124,46,86.62834788286773
125,46,78.62167064185314
126,46,58.583246009131926
127,46,41.116566803586466
128,46,31.994846622165824
129,46,24.39492997353659
130,46,16.97084387125824
131,46,11.531203616985977
132,46,7.899619510938692
133,46,4.882564284216983
134,46,2.675232594409124
135,46,1.407987372606101
48,47,1.9760654541404392
49,47,11.775858600845595
50,47,39.52151220510723
51,47,89.49731858484688
52,47,136.75551522779006
53,47,136.14099041886357
54,47,87.71543577530656
55,47,32.8763008876399
56,47,6.407659827027601
57,47,1.5520535673003906
63,47,1.188545476379204
64,47,1.186025761516703
65,47,1.0288803069324786
66,47,1.0765466685134015
85,47,1.601719246311859
86,47,4.819380997438657
87,47,11.949654362038018
88,47,23.830541701639504
89,47,40.71279815687967
90,47,57.13615450396583
91,47,73.31009897288459
92,47,92.6226216776954
93,47,109.66596627012063
94,47,119.27228570400189
95,47,119.01915873675148
96,47,106.51176250292815
97,47,83.79032127270489
98,47,64.5160719919121
99,47,58.5152384395343
100,47,67.01347752441404
101,47,86.92059765122895
102,47,109.18646337142673
103,47,119.59166024893352
104,47,113.21455333165727
105,47,94.88850875785579
106,47,75.98467876365862
107,47,60.47767849236607
108,47,46.88032619645469
109,47,34.90703508142815
110,47,25.894263358557737
111,47,16.290687232063192
112,47,9.02315268858024
113,47,4.223289246649529
114,47,1.9373044770927663
115,47,1.6844930250649668
116,47,2.2070393372775925
117,47,2.38661610412305
118,47,2.4391615750275832
119,47,2.7497194487336856
120,47,4.36472747034145
121,47,11.913933953329888
122,47,31.047933862150558
123,47,59.444094740889796
124,47,71.33262669375608
125,47,62.8354124527616
126,47,46.74278968452313
127,47,36.62184043833463
128,47,34.2827342038986
129,47,31.533382491075827
130,47,26.752747827354142
131,47,22.20091847209551
132,47,17.71422641242225
133,47,12.927797404901867
134,47,8.870853794006848
135,47,5.70739377831535
136,47,2.595098067745539
48,48,2.861256705635469
49,48,12.632735988622244
50,48,37.704692325655515
51,48,82.64268024972398
52,48,124.54322849278742
53,48,125.44792865123873
54,48,81.24637852835258
55,48,30.229921202207606
56,48,5.9123080357112485
57,48,1.7050329344269812
58,48,1.008936719335452
62,48,1.2437460842186283
63,48,1.9075393081009224
64,48,2.1225477534751462
65,48,2.025320961587113
66,48,1.9377649040945926
67,48,1.6237172439184633
83,48,1.7481273453915946
84,48,4.577727375110044
85,48,12.700911087668828
86,48,24.772282267323362
87,48,40.144772883945734
88,48,56.627128779756504
89,48,74.44920956164628
90,48,84.06611173970919
91,48,90.55596179078543
92,48,98.49876213349239
93,48,103.16429094888008
94,48,101.35842911522877
95,48,94.59175474656286
96,48,82.3906121280462
97,48,69.24869282777365
98,48,61.95699553939642
99,48,61.64173491904904
100,48,62.03788928619298
101,48,66.90134581675011
102,48,78.6044928832141
103,48,85.82440967714513
104,48,82.9870717359355
105,48,73.51234822955973
106,48,67.89705484311298
107,48,68.38267050406444
108,48,73.53345578934227
109,48,75.95303601379123
110,48,74.34843522769347
111,48,59.00101007579735
112,48,40.526869056088344
113,48,20.266105283433262
114,48,7.832794690261721
115,48,2.32724570078949
116,48,2.541769586013288
117,48,2.4475504523265954
118,48,2.466591613583091
119,48,2.673742857821594
120,48,3.710436079050055
121,48,8.555477039219682
122,48,21.80883260604378
123,48,39.988387859875616
124,48,44.18995938898354
125,48,36.485483312836095
126,48,27.442849839878818
127,48,26.232127970363308
128,48,30.710963107057978
129,48,34.15689660702924
130,48,34.23978654433313
131,48,33.09620551482476
132,48,29.44379363996859
133,48,23.725419361515833
134,48,17.571948699096538
135,48,12.271653439378724
136,48,7.015864819573949
137,48,3.7993032664801376
138,48,1.798982714537999
48,49,2.5459193967813007
49,49,8.927583540905971
50,49,24.797878444571325
51,49,54.28370815580479
52,49,82.89515380991611
53,49,86.75723983935518
54,49,58.712825781629135
55,49,22.423047682067363
56,49,4.750388915394751
57,49,1.9483426637832508
58,49,1.396662385909167
61,49,1.032097278241963
62,49,1.8038987201269947
63,49,2.8336451272689374
64,49,3.3274998616868743
65,49,3.2941689981860236
66,49,2.9873679798599824
67,49,2.4061337783065255
68,49,1.428287968308723
72,49,1.0868399344809632
73,49,1.4041186660397216
74,49,1.3109328177384896
75,49,1.0776176066146945
81,49,1.5266722339960097
82,49,3.9218212931689322
83,49,9.162600134666832
84,49,16.421382342325728
85,49,27.389093489025754
86,49,36.05523611008175
87,49,42.265188807085224
88,49,45.4889171758482
89,49,48.53986267124287
90,49,46.16821997915372
91,49,43.321176114825676
92,49,41.79471738688699
93,49,39.24126312675003
94,49,34.948400852904456
95,49,30.502758117785106
96,49,27.96463302671907
97,49,33.71159002450872
98,49,45.65239128007954
99,49,53.311213988336306
100,49,40.51895138454938
101,49,23.953352439962146
102,49,19.999525996311377
103,49,21.447947554623852
