x,y,r
197,12,102.0737702467343
284,12,124.57769549667469
285,12,248.03070254228084
112,13,128.43844303100042
113,13,221.05272176976018
114,13,263.45535384439125
115,13,231.42285434077212
116,13,171.65096800870808
117,13,110.6219199519379
123,13,118.30519093141788
124,13,204.5083537202514
125,13,274.7955064024746
126,13,281.78983801567915
127,13,212.41092597021043
128,13,108.08826391831886
183,13,105.6568439338779
184,13,102.02566828036544
192,13,128.9725081196699
193,13,143.44000463830014
194,13,181.107727065265
195,13,241.16462239697705
196,13,288.38876713232554
197,13,303.3540920644366
198,13,278.06369770297374
199,13,217.55182771820455
200,13,144.06797605122668
223,13,123.98458419052945
224,13,185.6165193657604
225,13,189.61450052244635
226,13,141.68122888255886
251,13,118.46836405217972
252,13,160.4780401393984
253,13,154.52821159421416
254,13,123.88741310609633
283,13,175.84271982850646
284,13,286.8609897442265
285,13,497.55041072183434
2,14,106.90354067385539
111,14,130.91793069883244
112,14,341.66058211273753
113,14,548.9505545120861
114,14,625.9924261154858
115,14,546.1640140650552
116,14,401.6386064695598
117,14,246.08422950000633
118,14,117.32680299681546
123,14,191.98874509886352
124,14,366.31465801043646
125,14,538.6662297817339
126,14,618.3504771750831
127,14,545.268731005775
128,14,346.27806221561417
129,14,145.9902166596309
137,14,107.83282656006357
182,14,134.30415695185445
183,14,205.37161986496307
184,14,221.21760038830197
185,14,192.08476236769917
186,14,158.15083490287608
187,14,127.97947565548597
191,14,166.52124026595828
192,14,241.8380485890754
193,14,298.6450291027947
194,14,396.87313453421257
195,14,516.203094567408
196,14,589.1302184773582
197,14,590.1146556979003
198,14,528.6394392419033
199,14,420.5804200126963
200,14,292.1726076475746
201,14,187.22217847804896
202,14,113.0052607439115
223,14,205.90448767723475
224,14,324.8715337011379
225,14,343.1353838283398
226,14,254.94255475267715
227,14,119.64799062965095
250,14,169.20301228713458
251,14,307.8897849063441
252,14,384.68339610670586
253,14,370.78446688696204
254,14,304.7501537991396
255,14,219.28485337708116
256,14,130.10545872909668
280,14,119.15437493961423
281,14,127.5882961460949
282,14,140.78247010731715
283,14,259.2145491523274
284,14,421.5043389929657
285,14,678.6715213095143
2,15,222.6869261315858
111,15,302.940046773665
112,15,712.6429059692003
113,15,1066.5195994348076
114,15,1171.9198807202442
115,15,1020.0007778040632
116,15,733.1678336228114
117,15,423.9759528164573
118,15,185.9394813579398
123,15,239.56491493054125
124,15,485.1566665263582
125,15,757.8200967696973
126,15,943.5313601295456
127,15,943.6091199657769
128,15,730.0350972687556
129,15,413.0096353012384
130,15,168.22445245336343
137,15,128.25439471249146
138,15,100.3832947243085
182,15,188.76881263456136
183,15,316.1128118314354
184,15,384.4102938384623
185,15,380.95748233845455
186,15,343.3160554841661
187,15,290.42647448832054
188,15,227.2222496032098
189,15,173.03551980246453
190,15,171.45531920893592
191,15,244.89311245968187
192,15,340.1726398140337
193,15,449.09135109210484
194,15,650.6467235305615
195,15,854.3724720206222
196,15,921.0293918096298
197,15,839.8544403276726
198,15,702.9217223064243
199,15,577.5594536579948
200,15,458.9033544791945
201,15,344.4488588193166
202,15,233.93947439483298
203,15,136.8139729828767
222,15,108.71151550639347
223,15,254.51635381557435
224,15,423.55198315582084
225,15,465.1929669557124
226,15,348.379922141165
227,15,159.70929428444464
240,15,123.76240106227179
241,15,144.61829574858936
242,15,167.03286757491085
243,15,185.18440244544732
244,15,190.77777730643945
245,15,168.9732500133964
246,15,117.89808847050058
249,15,173.18258385791714
250,15,399.04189820500324
251,15,624.515773439795
252,15,742.9592104947175
253,15,719.6265324829875
254,15,586.5877240347198
255,15,395.77877819254815
256,15,220.5177419593195
257,15,103.75859194659895
280,15,132.32073262982576
281,15,137.90599731762728
282,15,153.14392691278263
283,15,278.7501909056515
284,15,459.8962579329155
285,15,730.3196310554448
2,16,355.1992487424447
3,16,140.61078902748324
110,16,142.68361308609016
111,16,541.6324177721018
112,16,1062.5473445136695
113,16,1393.8591936432715
114,16,1397.8399075367715
115,16,1137.9193397951249
116,16,764.2776806391958
117,16,413.07215949039306
118,16,169.95267716151392
123,16,175.4525313469882
124,16,382.5169347447166
125,16,649.8825706222376
126,16,890.6815662100121
127,16,1010.0047367202912
128,16,937.6739832391642
129,16,692.3490261327868
130,16,395.9496806805436
131,16,169.7681632080536
137,16,123.0398625233364
138,16,112.06977623707172
139,16,131.96856512733714
140,16,172.92856148205965
141,16,186.23962679183646
142,16,201.62621871212508
143,16,256.8260700083093
144,16,271.5123016669659
145,16,228.2457160521565
146,16,206.44225430650314
147,16,209.16626508491336
148,16,156.99766481136683
182,16,192.47855092091362
183,16,334.2684619561148
184,16,426.4435983589445
185,16,447.1185179570184
186,16,423.31295298542307
187,16,373.051452722622
188,16,304.89939652293003
189,16,241.07363074135313
190,16,227.7667064055919
191,16,297.70046046549817
192,16,399.3360506108232
193,16,470.8723381823197
194,16,642.2717096225297
195,16,876.2800117877497
196,16,989.8265100407747
197,16,910.6187003934557
198,16,731.5740235931509
199,16,578.880501937563
200,16,481.41556196965234
201,16,402.9800589402936
202,16,309.8159767988412
203,16,208.3236858571545
204,16,122.44788197969176
223,16,201.94920482717163
224,16,369.75013821478154
225,16,438.73151625130896
226,16,345.581557216329
227,16,161.857216462184
237,16,114.9274190390331
238,16,124.51685466466905
239,16,136.21883945268652
240,16,172.32395835475734
241,16,228.64791663506188
242,16,293.9122438552072
243,16,333.95851222996396
244,16,340.86624678840565
245,16,302.1405019909051
246,16,211.9522890110061
247,16,139.60118000509155
248,16,191.2258253770857
249,16,380.96306778383826
250,16,647.4349384022302
251,16,861.4969607419207
252,16,936.0815474161427
253,16,849.1471032546601
254,16,647.5522876579852
255,16,408.4069620387906
256,16,217.19971927176363
257,16,105.48185894752315
280,16,107.89408292124868
281,16,100.8543291785327
282,16,109.19433235531986
283,16,203.6862999888786
284,16,332.6038058994911
285,16,485.1865689056166
2,17,412.13429905646854
3,17,182.32424199205477
62,17,104.37739883103781
99,17,111.22015069142765
100,17,121.21011768641189
101,17,122.4050511912927
102,17,111.39407696799668
110,17,270.2226237308278
111,17,726.3712389484459
112,17,1108.2029053095698
113,17,1229.606088399469
114,17,1107.694701382398
115,17,835.0659462452962
116,17,526.5223146275836
117,17,270.72590479950156
118,17,107.02891021193163
124,17,202.03363187894027
125,17,359.08935656101767
126,17,527.7877044292117
127,17,668.6310711085027
128,17,741.9540953507523
129,17,716.8180433803385
130,17,582.5356557444824
131,17,374.0184239453601
132,17,172.36227178257664
137,17,105.7468294551037
138,17,161.71833757600223
139,17,305.7403050015386
140,17,404.17867639036126
141,17,411.42491981144605
142,17,466.6407900263596
143,17,595.0232122626704
144,17,594.9677017791944
145,17,450.0503128183635
146,17,337.24549143252193
147,17,339.9596383267425
148,17,314.7350764390938
149,17,195.41795853178462
182,17,162.7661074306248
183,17,282.4841586248683
184,17,359.67176549860073
185,17,380.5295982678466
186,17,367.6090058216373
187,17,333.8042136476888
188,17,282.36516957059416
189,17,229.4628564673787
190,17,210.73114503600846
191,17,263.291772280038
192,17,373.5690965964252
193,17,436.31500497760123
194,17,485.7837875332017
195,17,608.4765125459814
196,17,704.2099676059432
197,17,679.2491665586782
198,17,564.1440172214973
199,17,458.493029445019
200,17,410.17516172716677
201,17,389.14808660433886
202,17,342.9158783811941
203,17,266.5945613628499
204,17,184.67068178222127
205,17,113.42628604177699
223,17,113.96561219675569
224,17,231.9496591100178
225,17,307.4456544565742
226,17,268.17967194470003
227,17,135.8838527025033
236,17,105.9382112281835
237,17,144.05506925110652
238,17,154.96195029069148
239,17,159.25486680446485
240,17,202.11983760747685
241,17,291.8459711499993
242,17,389.5885022580082
243,17,440.0505485678304
244,17,443.63727539105207
245,17,393.34888006350076
246,17,300.74402231066216
247,17,266.95071770503904
248,17,372.6954658100675
249,17,540.2548952338932
250,17,710.6787879257347
251,17,810.0015897711484
252,17,796.4754822770213
253,17,675.6318450832131
254,17,492.0475798586929
255,17,300.0649025179181
256,17,156.99861303536755
282,17,114.96645810735787
283,17,176.80639002227522
284,17,238.70908987384706
285,17,299.2325336145656
2,18,337.4328667372947
3,18,186.08268423792651
76,18,100.97614633234181
77,18,120.71300491366686
78,18,183.10099117529785
79,18,271.9193164580323
80,18,300.73781098223947
81,18,212.93868370240088
82,18,147.3149270704423
83,18,126.03111043799979
84,18,111.76449548856287
98,18,108.79662004678092
99,18,122.75651286921749
100,18,128.4511464653653
101,18,125.56598157392327
102,18,111.97043548244132
109,18,111.77192410341219
110,18,336.05868151397107
111,18,556.8635165577659
112,18,638.3254507283709
113,18,610.2544126236056
114,18,506.88908362565866
115,18,363.1753400458771
116,18,221.75690388211132
117,18,112.19453088593342
125,18,148.0085288588036
126,18,231.80780838486348
127,18,320.50066988377563
128,18,403.4525487486066
129,18,470.922274039111
130,18,487.86880713813883
