x,y,r
2,2,36959553.50952159
3,2,12710621.925912146
475,2,13292855.951067444
476,2,41534315.84528914
477,2,179581155.78720286
2,3,12743846.9362582
3,3,5263595.15141638
475,3,5589858.547427048
476,3,14791869.52700109
240,117,20959.916946137106
241,117,31098.98425564538
242,117,25898.7287808575
243,117,13812.061485621452
256,117,12024.326767351236
257,117,15501.381888909142
258,117,15092.968565524092
239,118,13492.497605296547
240,118,21138.098753449965
241,118,18297.916915128404
273,127,14709.720844806528
274,127,20567.730362778377
275,127,20830.627367240544
276,127,17870.670045941923
277,127,14138.137505121063
272,128,15496.842745890352
273,128,36570.056530652
274,128,58526.92621705159
275,128,73787.16646858215
276,128,78186.41319490469
277,128,66274.3583308668
278,128,42666.38823762321
279,128,21838.38382491261
271,129,12399.820343789463
272,129,36136.23248453397
273,129,80017.2434835647
274,129,130217.5744580407
275,129,169963.07616425015
276,129,182397.248203845
277,129,149403.81981899138
278,129,87792.20745905644
279,129,42075.757349264786
280,129,18733.03671876223
270,130,10473.519164807387
271,130,23814.642504302312
272,130,52930.76842612514
273,130,95816.71717355947
274,130,140244.74089699134
275,130,194909.72181871676
276,130,237653.4943253945
277,130,212257.35366583162
278,130,121514.83955232005
279,130,56831.84567581581
280,130,27305.2039685732
275,131,91521.61189650724
276,131,247506.20425964444
277,131,295112.1707596453
278,131,185283.64751950998
279,131,88710.16238345503
280,131,43065.53777607543
281,131,13858.484511405697
276,132,314875.7306839403
277,132,451833.4947282957
278,132,310986.2294308484
279,132,157629.28834009267
280,132,73911.54196113115
281,132,22377.0849489764
276,133,465518.7316418494
277,133,639163.202117641
278,133,452419.4955303231
279,133,234673.4331265004
280,133,103741.20225490454
281,133,29389.71210612998
275,134,106241.38468137733
276,134,558491.0428062787
277,134,680725.3731701591
278,134,465475.4996266859
279,134,230591.22975883968
280,134,91576.83568230696
281,134,23755.51917623463
275,135,144216.892868383
276,135,433218.655588027
277,135,456878.8338358656
278,135,280576.97877282865
279,135,117179.96705792853
280,135,33442.72482723584
275,136,106253.2827842125
276,136,217970.11715796246
277,136,185332.36680565635
278,136,84852.84499543275
279,136,10989.491070849901
275,137,56587.23603984272
276,137,80292.65578823895
277,137,43110.25053749496
275,138,23084.44186546906
276,138,20147.55128412708
3,145,111060.85700477427
3,146,231887.74175503873
3,147,261471.51838610595
3,148,227803.68263525222
3,149,128313.57757995781
475,149,52442.73515572451
475,150,253533.05083359743
475,151,327786.2730717807
475,152,323813.15420175204
166,153,13582.22105433842
167,153,23153.329369451516
168,153,24224.63371619753
169,153,12222.86550738199
475,153,276124.60255392635
162,154,17792.418741982357
163,154,40525.44519334809
164,154,70392.23642144082
165,154,99639.61537762136
166,154,111017.06729104657
167,154,96170.99949452051
168,154,67258.31127451087
169,154,37509.57866781398
170,154,13352.16725611554
475,154,139150.1762106424
161,155,10620.662703590868
162,155,40573.68092646576
163,155,100145.24947119702
164,155,178282.62639358646
165,155,240442.22755781867
166,155,245187.27589820945
167,155,191743.17209894897
168,155,115048.31750633831
169,155,53965.784211717684
170,155,19311.790256519256
161,156,13104.240450799083
162,156,52497.80144338469
163,156,125011.12179520709
164,156,208502.2209084791
165,156,256240.72082686215
166,156,241386.77609270794
167,156,182189.14235211696
168,156,105312.38010123189
169,156,46430.17393968245
170,156,15589.787311278265
280,156,26954.182215975852
281,156,20298.315733920972
161,157,18630.933150573997
162,157,59686.72984473879
163,157,117792.94196596206
164,157,150315.21069988736
165,157,118787.66953002733
166,157,60439.777234736175
167,157,26185.94271771486
279,157,45753.492561143124
280,157,62423.48623095704
281,157,36336.467952978084
381,157,13902.496036224398
382,157,11021.475609395475
160,158,12843.579106507372
161,158,35425.646111470545
162,158,84443.42040368715
163,158,138203.01810868335
164,158,124165.0733597958
279,158,73260.13943838852
280,158,97252.51110252895
281,158,57139.9349078274
282,158,17538.667842196603
379,158,46458.2905719329
380,158,82883.48873848282
381,158,73784.73753901818
382,158,42525.149297733224
383,158,17154.76073940497
158,159,21332.57158426766
159,159,36837.0435855564
160,159,49778.06533780123
161,159,79391.90067059685
162,159,137922.03439614625
163,159,201246.493788066
164,159,171852.23396513256
165,159,18470.88113799265
279,159,105156.80251793384
280,159,138803.20866293478
281,159,82816.49444543045
282,159,26431.62387423889
377,159,82834.0701670395
378,159,182462.6246588829
379,159,262274.42837283097
380,159,275583.616684854
381,159,204760.8761243978
382,159,108995.28861020619
383,159,40853.68690553081
384,159,10379.985659899241
157,160,25698.21711665396
158,160,96384.7569653285
159,160,159198.67365366744
160,160,160574.64535953823
161,160,156369.6017604159
162,160,192217.49811933376
163,160,246394.45585879195
164,160,210366.06909347072
165,160,60930.552355304026
273,160,10009.87505615759
274,160,11010.155491601854
279,160,147556.16208558917
280,160,187770.51486162696
281,160,109414.56469782587
282,160,31046.40299317176
375,160,42577.500719155796
376,160,133254.70925414484
377,160,265668.6239300939
378,160,395603.9455454585
379,160,470460.56301527127
380,160,444769.8622935696
381,160,313874.04494762
382,160,161569.145501978
383,160,57899.09230239287
384,160,13117.434333307925
157,161,61647.194427118324
158,161,261050.73832891945
159,161,402711.967908707
160,161,329831.6405191857
161,161,204764.1607941857
162,161,169286.36136946158
163,161,199361.46087458625
164,161,174140.08323431262
165,161,68548.43178006567
273,161,12151.560807426202
279,161,203169.29946473954
280,161,241243.23282055432
281,161,131944.20006915004
282,161,27911.750728850868
374,161,22384.504069141916
375,161,73828.4538847218
376,161,168698.0882750683
377,161,288752.7554475892
378,161,393212.68523433234
379,161,437551.3082196311
380,161,399105.5270980069
381,161,280340.0031142211
382,161,142754.34503405512
383,161,48701.43580483827
157,162,127090.39138691952
158,162,487153.2177782878
159,162,682876.2723525846
160,162,463736.69972022355
161,162,152921.0626730988
162,162,30217.65230889831
163,162,57636.085850442876
164,162,79109.33476958299
165,162,42474.773142999555
273,162,10741.985219062577
278,162,20433.796496873663
279,162,241996.31087031736
280,162,267230.3944791113
281,162,135220.95957522295
282,162,16631.758321143512
325,162,14673.754697203665
326,162,42751.1517353098
327,162,64300.55428339506
328,162,67241.81841628905
329,162,49225.28459917422
330,162,21710.374028717553
374,162,13604.025437348075
375,162,33511.38284366511
376,162,67393.8455052331
377,162,118598.46370387985
378,162,175101.3518086577
379,162,202170.9787106171
380,162,196334.6159251795
381,162,155273.08705371834
382,162,85070.18628288736
383,162,27819.89077192836
157,163,226847.3961673684
158,163,708845.0791957465
159,163,909195.4185331035
160,163,548064.2601587111
161,163,71110.2104324848
165,163,11493.122871565767
278,163,28437.173653987586
279,163,238160.8304247971
280,163,247992.7574596175
281,163,117338.24385145312
322,163,11487.149910085536
323,163,23719.833062057536
324,163,58021.27469032086
325,163,123089.1562777739
326,163,203341.79049035357
327,163,240517.51003296068
328,163,209245.31055175094
329,163,137736.85866701714
330,163,65852.3790836909
331,163,19861.84764658439
379,163,27693.716346324392
380,163,46319.806169624615
381,163,63445.45252207183
382,163,45651.876036617716
383,163,15586.668829194716
157,164,323523.9841546579
158,164,828693.4137078158
159,164,992363.7870840988
160,164,582862.3096884505
161,164,53738.44130704348
278,164,19288.629653303215
279,164,205769.9618821456
280,164,203281.77345027507
281,164,91122.52102177772
321,164,11164.197741854361
322,164,18568.83686868703
323,164,35099.81000009447
324,164,76422.87762719158
325,164,146462.89189171803
326,164,223055.89722783078
327,164,245538.52551567048
328,164,197755.10732560276
329,164,120591.63532712936
330,164,53900.955226488906
331,164,15079.620238552287
379,164,22915.132511205433
380,164,17607.555305573573
381,164,31805.381854275412
382,164,27932.041473362155
383,164,10091.16674704455
156,165,23588.561000933158
157,165,339148.4475860367
158,165,724195.3351795799
159,165,796771.6777247615
160,165,431872.63106705784
278,165,12972.341205053206
279,165,158890.76708921423
280,165,145025.53153972095
281,165,60868.42910736872
322,165,13136.975364514408
323,165,22695.490446141484
324,165,49659.46949049042
325,165,90781.58801492801
326,165,125006.78602667041
327,165,122291.83898506337
328,165,86518.66330510945
329,165,45747.631610926575
330,165,16181.454778078974
378,165,25004.436368206254
379,165,58092.18741046702
380,165,29510.666795001387
381,165,21629.706415666908
382,165,15021.950942088379
156,166,50126.78808092977
157,166,238297.3767071223
158,166,424237.54599139094
159,166,386790.3435952823
160,166,101307.19676804013
279,166,102980.67853150156
280,166,85886.66346836496
281,166,32715.92823905009
324,166,21958.180129253546
325,166,37539.184847085904
326,166,39270.7792019389
327,166,25912.09473461425
378,166,25915.99968440713
379,166,49833.70443490107
380,166,24533.4234203256
381,166,11702.905815941485
156,167,32997.57450647988
157,167,103143.09333811335
158,167,134018.65483966877
159,167,19040.255937462643
194,167,14416.726786470259
279,167,53465.82259523145
280,167,42601.00368971055
281,167,14244.382084855602
324,167,10646.632543674721
325,167,13976.087673711796
378,167,15542.264517411131
379,167,25023.146743407615
380,167,11150.404858435693
156,168,10478.327720510431
157,168,19805.953876726013
279,168,22994.873356775654
280,168,19242.826429034718
375,169,17625.239670879902
95,170,28620.451331985438
96,170,67533.80591790637
97,170,69660.86750791944
374,170,11068.626256623178
375,170,11529.258230476069
93,171,19417.435598083117
94,171,54359.14164376107
95,171,119807.77153107563
96,171,198924.69077300793
97,171,218866.20353422387
98,171,123891.18585670591
195,171,10790.934306395357
92,172,18347.84768792009
93,172,56931.477683181045
94,172,127211.98185684164
95,172,218806.97490924783
96,172,304216.88437468815
97,172,319804.7305888074
98,172,218443.5865333721
99,172,69231.45503274069
194,172,13199.742296890734
195,172,27474.789435938845
196,172,12393.478514143455
91,173,10209.719738625252
92,173,32247.812716919194
93,173,85688.6065388179
94,173,166772.3026455168
95,173,246459.2238505266
96,173,296614.3676624412
97,173,286581.2499386011
98,173,199378.36574398042
99,173,86701.6034401094
100,173,19430.039602958117
194,173,14572.987250231872
195,173,18174.934879703163
196,173,12702.353260413343
91,174,11250.794048358432
92,174,31113.094189568954
93,174,74071.62077711773
94,174,129707.07181734644
95,174,171089.94212951217
96,174,180839.7650335814
97,174,155684.44032241122
98,174,102752.78963069446
99,174,46903.216380028105
100,174,14274.4727513689
92,175,17769.693632508777
93,175,36641.73589112764
94,175,54809.27117121099
95,175,61313.14447770457
96,175,53761.35009978736
97,175,37853.88917244756
98,175,22232.1522343708
99,175,10487.44171385108
425,178,15006.358113052582
426,178,19055.474668923853
427,178,19918.361103411444
428,178,15452.455057638983
424,179,14681.486587232044
425,179,19249.59713622661
426,179,21006.604636462223
427,179,20875.150666396326
428,179,21300.665877156956
429,179,23437.422229223015
430,179,24091.361471002856
431,179,19334.85750279372
94,180,13405.393780714081
95,180,13349.384388526792
425,180,10598.152299666013
426,180,16669.438345645154
427,180,33160.712635154756
428,180,63103.302717973915
429,180,91956.17554084015
430,180,95961.55547041346
431,180,63799.16448371555
432,180,11290.325768531082
94,181,12591.323883434266
95,181,22794.076925348105
426,181,23584.99183668659
427,181,59868.574630894276
428,181,123227.39876830875
429,181,206431.6785773678
430,181,278608.22812026343
431,181,272407.86430869834
432,181,166040.1302698985
433,181,56537.691747428704
434,181,24733.686493879388
435,181,21744.53995925199
95,182,13419.736152784459
425,182,11150.718837050721
426,182,25247.232357859153
427,182,56113.13362465536
428,182,134656.50549494103
429,182,334525.49869485217
430,182,652853.7325815726
431,182,856891.9519932123
432,182,746008.4343489327
433,182,485609.78403480566
434,182,287691.6883217828
435,182,138888.1037208981
436,182,38206.919944966015
425,183,12591.830835535504
426,183,20354.04012179963
427,183,34466.08277338513
428,183,128351.33007430134
429,183,504176.25024294073
430,183,1212711.2214169353
431,183,1792014.6021015448
432,183,1763772.5132519833
433,183,1313627.7775384095
434,183,794049.7282664538
435,183,341959.8979144123
436,183,82042.85217986835
96,184,14243.04680352531
425,184,14974.28348791002
426,184,13762.895721631256
427,184,10340.678230033853
428,184,123193.86474028174
429,184,661839.0986131155
430,184,1694475.2278351646
431,184,2566844.646307806
432,184,2597555.983445192
433,184,1964115.9783015554
434,184,1134801.4698079303
435,184,440230.24059575424
436,184,91714.6856299422
96,185,21016.47228954031
425,185,10149.692218671567
428,185,91075.6312852022
429,185,665855.7324707631
430,185,1670047.168390253
431,185,2419628.7730390574
432,185,2323003.6415158166
433,185,1622485.0276777695
434,185,818631.0042853651
435,185,251889.55775726208
436,185,31132.983113111084
96,186,16468.509798933726
97,186,14350.305586207356
428,186,42443.53187315495
429,186,482150.0105444581
430,186,1095112.0204453466
431,186,1386306.1171201656
432,186,1095088.548975279
433,186,540930.3491856697
434,186,104534.13450110122
96,187,12017.771715081682
97,187,16073.374455846879
429,187,259294.59143893322
430,187,471251.6576130363
431,187,386620.3824608442
432,187,22865.956493136066
97,188,13390.743722273273
429,188,127289.34998111609
430,188,131907.04836645717
429,189,58632.92182761914
46,190,11751.705816236417
47,190,21835.665722278492
48,190,26633.34109065715
49,190,24624.99593227837
50,190,16583.23090681604
429,190,12502.919412085794
46,191,11496.056240142876
47,191,41854.87047115447
48,191,74385.52874634595
49,191,96342.75969998466
50,191,93585.9276989217
51,191,62211.75690068161
52,191,28438.155263030938
53,191,11971.31408526138
47,192,48189.52191252768
48,192,119911.649124894
49,192,184831.3953334666
50,192,204807.15926613953
51,192,145237.79529627337
52,192,64664.59901907828
53,192,22488.273749969652
45,193,27138.498022562708
46,193,115400.80144100625
47,193,263402.0111443354
48,193,342898.2525543922
49,193,352262.538822886
50,193,328564.5424828626
51,193,225404.66997103865
52,193,96909.3751671498
53,193,28420.515179621463
164,193,49496.21856784163
165,193,47921.94203800132
166,193,15025.240390934825
44,194,53706.71259296307
45,194,268061.12106011034
46,194,650314.5367949298
47,194,1014551.3471031482
48,194,997439.628918931
49,194,698628.829789737
50,194,439826.221212722
51,194,251664.34371819085
52,194,95918.81885519341
53,194,16326.366729205241
163,194,151620.7851668495
164,194,218069.10913431813
165,194,127532.54563929995
166,194,27842.161157697374
44,195,123748.64297707379
45,195,624329.1666444637
46,195,1450774.9216114213
47,195,2109780.132097828
48,195,1927541.9121091617
49,195,1143448.9696458078
50,195,489143.7637944943
51,195,180641.28732203765
52,195,36071.01428677043
162,195,119108.18444648618
163,195,331248.2009945152
164,195,338240.6736024921
165,195,162333.4131015975
166,195,10987.482100109235
44,196,36795.811901605804
45,196,609134.4281520315
46,196,1654640.2188385972
47,196,2530476.918658185
48,196,2357540.2298719315
49,196,1349817.0078440513
50,196,445594.5009169708
51,196,61767.670235272235
161,196,11131.429337761569
162,196,186316.7036937795
163,196,341064.50852800463
164,196,292586.8052831779
165,196,97135.8322191241
376,196,15617.970350566216
377,196,17340.2050868708
378,196,13331.643944634816
45,197,63095.27109898068
46,197,904029.0154864127
47,197,1773167.9016334629
48,197,1847711.4937295935
49,197,1113817.2046684374
50,197,332996.1015582533
161,197,27686.136830853284
162,197,140920.14693756297
163,197,214438.24297877704
164,197,140681.50239139932
375,197,25096.528731726125
376,197,43687.25888756657
377,197,46493.06931970281
378,197,29100.807048203293
379,197,10250.42299019829
47,198,560926.5633471915
48,198,900139.0675745783
49,198,643003.8667247395
50,198,201271.64830822757
