x,y,r
2,2,3263.315847798829
3,2,1673.8149099496475
315,2,1674.4054305331972
316,2,3400.837652203959
317,2,5587.782407686425
2,3,1673.8149099496472
3,3,1246.4892136294077
315,3,1273.0793641519547
316,3,1832.66658481261
317,3,2039.2624480745299
88,78,101.66256297328748
88,79,103.84696290854475
181,84,116.23793019347518
182,84,158.01565433117847
183,84,182.23332624538594
184,84,168.6746956610986
185,84,125.58689838962802
180,85,172.92075145164154
181,85,242.84820190736687
182,85,277.57939561580747
183,85,289.9067319231695
184,85,259.4662569928981
185,85,185.02464244538533
186,85,118.80540533962028
179,86,141.40486455499334
180,86,222.15881477715192
181,86,264.57671170932946
182,86,285.78376456784565
183,86,298.7871912324346
184,86,276.8000613347337
185,86,200.46181740165437
186,86,133.26230016006414
180,87,140.3073485018734
181,87,160.8451290292735
182,87,195.10971275167833
183,87,240.52830431464517
184,87,260.9314965758662
185,87,208.3430856585717
186,87,149.986986447237
182,88,123.34558448257458
183,88,211.65459925634238
184,88,282.00293887279275
185,88,250.7937864256084
186,88,191.83754499433212
187,88,129.12498077277255
182,89,116.51476977848755
183,89,247.6823965765892
184,89,354.4404137454231
185,89,325.25735700480584
186,89,246.09499183057633
187,89,156.9392574740977
182,90,144.53246110937664
183,90,312.0950004533316
184,90,428.02163957185445
185,90,375.3632449344714
186,90,256.8807773905471
187,90,140.86775472518923
182,91,165.61097963031494
183,91,336.94115142652043
184,91,413.3732513501867
185,91,319.3828551319858
186,91,181.5814598767718
182,92,158.05805986103766
183,92,270.6311214428933
184,92,262.22960308871313
185,92,161.27230224534313
182,93,114.16858021033735
183,93,130.05569264912495
2,95,103.4956097942754
3,95,119.24979031421017
2,96,155.52590671007513
3,96,180.09998534640107
2,97,182.87344887480575
3,97,213.35038191447828
2,98,184.74153903995054
3,98,215.73830308259613
315,98,116.26210149664793
316,98,112.82081459943315
317,98,109.50772614134748
2,99,160.88953995191352
3,99,187.3730186305236
315,99,174.23854214859352
316,99,165.185145120249
317,99,164.64601702178007
2,100,109.00951760166838
3,100,129.22758456346887
246,100,102.00195456528546
247,100,104.70343385650244
315,100,204.47260357507417
316,100,186.35265643156703
317,100,190.0149261899869
111,101,111.42774192464125
112,101,104.53141243871404
315,101,205.0627897771723
316,101,184.6235843925921
317,101,188.86609215269598
108,102,110.9156643585705
109,102,181.59548398357862
110,102,243.40635647310276
111,102,275.8747076616348
112,102,261.5684455093854
113,102,191.94423066369941
114,102,101.73689966889584
315,102,189.83936519165104
316,102,178.00210527233983
317,102,175.92171757200154
108,103,169.45762308584167
109,103,261.19814587524326
110,103,334.8104028008452
111,103,374.75095867848455
112,103,362.0583502168393
113,103,290.21248155559806
114,103,187.68794757692174
115,103,106.91164675065401
315,103,134.67193216192317
316,103,128.12135717076364
317,103,121.55965579839024
107,104,100.14924048921313
108,104,176.98266082995573
109,104,248.34285828741292
110,104,293.0581845495416
111,104,304.6109127656517
112,104,280.0817945039095
113,104,221.0816740601372
114,104,142.28636511464288
186,104,114.84112424508713
187,104,124.41891878114431
188,104,103.06840149870575
105,105,101.18334301793848
106,105,115.27642215704238
107,105,123.54185219104761
108,105,144.73665424219055
109,105,168.05575797674422
110,105,166.02247323214505
111,105,134.40445284634504
112,105,108.05755510786092
185,105,121.6598350682591
186,105,193.85909312551937
187,105,216.01954155744068
188,105,166.84311393473737
250,105,134.1740022190879
251,105,189.6363638135416
252,105,212.98550479736323
253,105,194.07642566693536
254,105,154.3395607771643
255,105,116.88859909099456
104,106,138.43889667025448
105,106,222.38976038427376
106,106,214.3499332497277
107,106,156.39941100368446
108,106,131.24617719029342
109,106,139.36406322844073
110,106,117.54407438755601
185,106,142.97235984235655
186,106,258.22037621147865
187,106,301.02812147640475
188,106,218.66991886068655
249,106,193.038600135758
250,106,291.6820738110193
251,106,369.86909225292305
252,106,383.45535728940655
253,106,330.17324802425054
254,106,244.33105026803003
255,106,159.81022584578722
104,107,249.9940481346056
105,107,375.8958126977768
106,107,331.9114356255112
107,107,212.07424887183444
108,107,164.7624786819338
109,107,185.3788471706702
110,107,165.6733866096679
185,107,177.93607342080472
186,107,334.81143404358625
187,107,389.1293555864601
188,107,250.97176852384783
217,107,117.59935503256635
218,107,146.2823512163206
219,107,142.25620925879596
220,107,118.00530053079181
248,107,196.73365797416884
249,107,308.26266789382066
250,107,399.33187206830667
251,107,454.19439534711535
252,107,441.0375033260751
253,107,365.0770426383408
254,107,263.98946780504224
255,107,162.1045839110641
103,108,130.89939148974477
104,108,382.6991724416738
105,108,534.4877449792698
106,108,439.2630092075819
107,108,253.35362393753786
108,108,165.80916905880787
109,108,189.16132129582516
110,108,208.0932261507137
111,108,100.99275188231196
185,108,207.60329941323752
186,108,397.65241807355795
187,108,453.72575983625063
188,108,261.06329145201715
216,108,139.8785917653911
