x,y,r
2,2,22557978.416986518
3,2,5631761.917975776
315,2,5778648.190970878
316,2,25583637.390801102
317,2,151124075.1405833
2,3,17985904.28532323
3,3,5983135.512921354
315,3,6441402.6227815505
316,3,20941484.951256618
317,3,97710644.58551016
2,4,7237729.255139273
3,4,2873126.554561533
315,4,3160800.6981042996
316,4,8690793.039244393
317,4,10717801.348279923
3,5,45288.353091783734
315,5,62817.34110421952
115,33,28729.85354727463
141,33,12035.57084834644
114,34,16268.724420160364
115,34,16750.15746146663
138,34,24683.3660001597
139,34,265995.68394432473
140,34,319316.72401723254
141,34,215292.4033862296
142,34,96761.06582657961
143,34,25849.511299775535
138,35,517281.1481190939
139,35,953815.4476289452
140,35,968447.6655560869
141,35,637990.7849504483
142,35,283956.2231753791
143,35,74291.04931909419
137,36,229512.56079640723
138,36,917506.8336118475
139,36,1467704.3120829097
140,36,1443040.5190389825
141,36,947785.8777576596
142,36,421124.15506973723
143,36,108023.69990843441
144,36,11241.020509458978
137,37,321503.3867320418
138,37,895779.4662137607
139,37,1317819.3445212385
140,37,1235244.5480370063
141,37,777661.3672327941
142,37,324000.9492676647
143,37,71778.85660301121
136,38,38925.80251582405
137,38,227280.44697432793
138,38,486900.4080344859
139,38,597874.1540612371
140,38,454790.19070937735
141,38,201767.71972276818
142,38,29270.105875070323
136,39,42542.565778212884
137,39,136368.90518180968
138,39,168304.9185596077
139,39,52522.026283408166
80,40,28602.830237046343
81,40,101723.53084457191
82,40,195981.21216792255
83,40,185858.3524207035
84,40,14331.282347444678
136,40,66707.4115814308
137,40,161455.2463308036
138,40,124090.32033167948
80,41,82475.61543742196
81,41,302825.6604265275
82,41,594217.3795433888
83,41,652390.1106802428
84,41,362970.8926247099
135,41,14229.033738446233
136,41,83504.70586594775
137,41,161567.40231923104
138,41,56563.775547621364
80,42,135307.65882802205
81,42,512119.437699331
82,42,996253.7945885865
83,42,1123561.2701584054
84,42,737210.9095376513
85,42,149842.08293726336
135,42,16975.667256606317
136,42,76979.52415319945
137,42,95444.63464776547
80,43,85845.15897820133
81,43,470729.98784059956
82,43,984219.4881014995
83,43,1172747.0311603844
84,43,842187.9965764057
85,43,283312.58405389823
