x,y,r
207,22,11393.122484849773
477,22,198928.74082734
192,23,109144.72141004552
193,23,95248.491667806
194,23,54694.072289512376
195,23,21766.760230210504
206,23,37354.517094416544
207,23,103328.57395338835
208,23,194646.73027948593
209,23,220584.35030274623
210,23,52500.27691562375
320,23,13046.501613892076
321,23,23168.216040193063
322,23,35098.80302852449
323,23,64741.85174009336
324,23,99677.87511432433
325,23,44364.29122669838
372,23,14325.169106532703
373,23,88071.79933665472
374,23,95966.83075186983
469,23,27023.949079779606
470,23,41135.69531745229
471,23,70903.667404789
472,23,154247.68161548654
473,23,276941.4823706775
474,23,332564.19201333425
475,23,438552.15751621325
476,23,523679.6516335529
477,23,1222494.0154909892
190,24,541695.2477265173
191,24,1194048.766899815
192,24,1151237.4458320658
193,24,745475.7621469428
194,24,357097.99791907944
195,24,119991.98447260828
196,24,25893.45745026153
205,24,26627.01546918845
206,24,114150.9495710923
207,24,332982.00944612426
208,24,675614.3951633866
209,24,968114.2418226737
210,24,906049.9808037034
211,24,362152.8884220894
229,24,183828.63107150665
230,24,281093.4218251634
320,24,43138.33134424899
321,24,87165.39257048955
322,24,171817.6688090309
323,24,360151.0523590947
324,24,653656.3428321078
325,24,876273.914486917
326,24,731579.5290024794
327,24,98515.74734595604
372,24,80255.50849185814
373,24,415794.300628638
374,24,610877.2258696822
375,24,139915.802923613
421,24,33410.23850323958
422,24,427231.8613380352
423,24,458743.887382971
424,24,323696.01568637905
425,24,175525.7764833594
426,24,68466.2651259028
427,24,12827.165712316739
468,24,26852.79760793048
469,24,71478.34711803697
470,24,143313.1582899577
471,24,309488.9560180096
472,24,627216.1676600543
473,24,1034469.0286643023
474,24,1325912.8904615468
475,24,1691740.5710071176
476,24,1927862.499315111
477,24,3164822.907602535
2,25,156669.49621753683
189,25,845402.5690359368
190,25,2756777.6802741783
191,25,3759738.5711061694
192,25,3354230.789483847
193,25,2167005.3838189365
194,25,1013479.127221001
195,25,320682.03340809507
196,25,62872.43985411366
205,25,46341.33575779817
206,25,217619.2931791105
207,25,678064.4461132861
208,25,1446674.2911210794
209,25,2223528.123304131
210,25,2477138.003949661
211,25,1882078.3011188994
212,25,738104.8722727741
229,25,595543.5545286133
230,25,672010.6206216416
319,25,20881.544640189186
320,25,70117.05875713688
321,25,155329.68044023978
322,25,367470.13442130515
323,25,856775.233277416
324,25,1647057.7368031298
325,25,2444492.9135059137
326,25,2719824.437257871
327,25,2114231.184678901
328,25,830080.2929088473
331,25,83980.2556937891
332,25,810629.3659121399
333,25,768848.383855348
334,25,160004.9689394664
372,25,120497.02953604062
373,25,835894.9630653631
374,25,1313423.4873448014
375,25,780981.8105712929
420,25,637555.4434970915
421,25,1688837.5122291339
422,25,2068502.3243063283
423,25,1759361.2824374049
424,25,1132874.0201635016
425,25,553990.6242190541
426,25,203423.660718107
427,25,53661.383582139824
468,25,40555.64932230818
469,25,112136.50125038748
470,25,282024.9628677961
471,25,695564.4541780717
472,25,1329796.6607609373
473,25,1967184.8515866627
474,25,2452266.017798896
475,25,3189510.9281788603
476,25,3833769.8072405914
477,25,5877026.645777987
2,26,479274.26824857923
3,26,26997.38043534028
188,26,277009.62292449235
189,26,2357357.88387731
190,26,4579379.694113605
191,26,5502303.667299495
192,26,4669676.563639328
193,26,2910342.043734348
194,26,1292362.9061806686
195,26,380708.9126217579
196,26,68680.78055390551
205,26,34113.54470312215
206,26,177439.3828698132
207,26,622771.4852139186
208,26,1486494.085941
209,26,2545994.39453201
210,26,3230860.847595945
211,26,3031547.5135530666
212,26,2039192.8360615368
213,26,824713.4714452067
229,26,782559.5268481905
230,26,825737.6154969501
308,26,129454.58979414357
309,26,252469.47823355207
310,26,317353.7590875295
311,26,326197.8462360946
312,26,242149.17688180285
313,26,118831.70548296906
314,26,31467.686668583192
319,26,32411.187529705963
320,26,73578.37618742583
321,26,145912.09707129406
322,26,344844.81039122836
323,26,862078.8861322202
324,26,1814634.6120132264
325,26,2982204.8023346066
326,26,3796738.6203264263
327,26,3686954.675318074
328,26,2563569.9520391496
329,26,1129316.8432430814
330,26,359670.27054112963
331,26,640878.610151059
332,26,1280811.6976199094
333,26,1300948.7634574152
334,26,579125.3633911954
373,26,656999.4859884582
374,26,1303688.8456770047
375,26,975947.5512020149
376,26,119336.01632609125
419,26,742883.3523265128
420,26,2042918.2681794113
