x,y,r
97,7,108.32721960302626
98,7,313.33733155188315
99,7,434.0248606377819
100,7,463.5123947830968
101,7,360.9554798586524
198,7,258.6803264686414
199,7,330.67047246528784
200,7,289.9487884010548
201,7,204.23855094350765
202,7,116.98022575061754
97,8,263.4581062576014
98,8,1529.3009453835048
99,8,2666.8992992696285
100,8,3097.2409607285085
101,8,2658.853477545644
102,8,763.2229513906245
197,8,675.5943308999513
198,8,2302.8749506799
199,8,2721.963448414682
200,8,2391.1382415649605
201,8,1772.8275310707215
202,8,961.0636276187985
203,8,174.30753826824073
97,9,373.6164146963864
98,9,2555.734013002635
99,9,5050.0013312458395
100,9,6374.221847829392
101,9,6026.91349935295
102,9,2023.5212486635853
197,9,1918.161563987967
198,9,6046.007230449737
199,9,6797.82229371495
200,9,5966.873249641885
201,9,4615.4303480862145
202,9,2331.8190149488546
203,9,370.06356244180535
97,10,405.46972282442226
98,10,2946.206284047595
99,10,6287.664730187892
100,10,8369.174426167152
101,10,8424.693410999216
102,10,3164.107001409179
197,10,3127.4345365943386
198,10,8928.158437442908
199,10,9548.91110256611
200,10,8147.696064618293
201,10,6068.39452830352
202,10,2839.1318950947284
203,10,415.3978669384732
97,11,325.68424426275965
98,11,2500.920758774466
99,11,5877.715365294225
100,11,8348.34361695364
101,11,9096.925857041972
102,11,4039.497439794118
197,11,4276.0081383546685
198,11,11342.378637404947
199,11,11761.141008092973
200,11,9891.264468049429
201,11,7273.535171034691
202,11,3242.8727240054814
203,11,437.16346566416564
97,12,105.8732304828019
98,12,750.6853631482867
99,12,1981.1373911506237
100,12,3129.5160667999567
101,12,4020.946228399415
102,12,3081.49563081612
146,12,150.1328294583826
147,12,432.1248115158284
148,12,481.67066867149856
149,12,515.4817126160057
150,12,529.5741294495874
151,12,388.54023773816647
197,12,4608.374173163892
198,12,11744.702685087535
199,12,11899.835411684218
200,12,9731.674932476295
201,12,6783.39316903815
202,12,2921.5758568375877
203,12,398.18329304773715
147,13,272.7796063186232
148,13,1593.3271401191262
149,13,2789.6611544226607
150,13,3223.9220550132627
151,13,2725.0469236887748
152,13,756.3881843570339
197,13,3965.0594429696284
198,13,10155.774676970745
199,13,10212.712023811084
200,13,8088.469093033557
201,13,5158.603276608274
202,13,2155.3891816136265
203,13,319.33448281902344
147,14,372.7332287824603
148,14,2591.5812779454373
149,14,5165.838884685762
150,14,6537.186000219003
151,14,6184.186059979335
152,14,2054.190290552334
197,14,2898.820603229058
198,14,7844.32405828028
199,14,8085.734828835615
200,14,6414.647430717853
201,14,3969.366789502497
202,14,1678.1082006193649
203,14,266.37878688532874
147,15,396.29986074850467
148,15,2957.3872876499363
149,15,6393.996393022149
150,15,8561.174556242206
151,15,8671.491466684509
152,15,3245.3395485274705
197,15,1688.6925634819966
198,15,4840.568000706482
199,15,5072.0914802590705
200,15,3847.38249542284
201,15,1897.3686794957098
202,15,669.3816465514498
203,15,114.74855724225105
147,16,298.36026420220816
148,16,2477.499470484684
149,16,5959.424354308507
150,16,8551.381122247
151,16,9389.80869322353
152,16,4165.01578601824
197,16,599.6007213959658
198,16,1871.1503816545062
199,16,2031.763907917132
200,16,1517.489420627804
201,16,591.2917221396534
202,16,122.81539798481822
148,17,674.4091147007819
149,17,1914.0062325385554
150,17,3125.5748856935875
151,17,4082.442900576286
152,17,3165.591235715134
198,17,232.1793984753221
199,17,262.4555140716248
200,17,199.2144368016222
98,37,734.6771055337738
99,37,2048.8230923774904
100,37,3266.3642065932945
101,37,4215.893127148631
102,37,3316.9632416804857
146,37,3359.2458666077996
147,37,4784.277366039428
148,37,4028.0995177973664
149,37,2907.7025667857756
150,37,1677.9645880321978
151,37,595.9402157734104
97,38,290.55955241163554
98,38,2376.5389675357474
99,38,6104.503122765485
100,38,9003.182726840821
101,38,10190.521982032182
102,38,4891.824311521004
146,38,4810.8273354240555
147,38,10938.54929059039
148,38,10454.384850233666
149,38,8069.298118012943
150,38,4964.413883135345
151,38,1897.1054634462846
152,38,221.8362931164024
196,38,169.3697167504603
197,38,538.8664714557468
198,38,635.9837063737496
199,38,581.1748731888722
200,38,300.8556467131303
201,38,174.69907706984708
97,39,352.8581249163267
98,39,2770.160792691583
99,39,6791.685034172083
100,39,9580.137887880068
101,39,10170.446831534553
102,39,4186.829662900545
146,39,4055.508204664204
147,39,10490.52817770528
148,39,10545.835622922048
149,39,8352.29032869731
150,39,5234.794480803616
151,39,2078.2277324406245
152,39,251.1637250789072
192,39,132.3662752742783
193,39,145.06818263302696
194,39,138.04616643710114
195,39,140.5902725411885
196,39,629.5400413510132
197,39,2085.6831511501605
198,39,2274.093940183757
199,39,2071.8341816336188
200,39,1589.8635747704577
201,39,988.5145563798197
202,39,130.8196222004822
97,40,311.21812466063716
98,40,2432.749030650612
99,40,5933.402817231269
100,40,8137.859143975705
101,40,8247.846718643537
102,40,3090.4592683301257
146,40,2950.0383834758663
147,40,8148.872556493226
148,40,8420.902635106017
149,40,6681.997899787807
150,40,4009.3674926601543
151,40,1571.1516826798531
152,40,192.86741072546369
189,40,121.69860834729424
190,40,228.01469010753578
191,40,282.2141144767952
192,40,534.0444843990173
193,40,551.6830153589473
194,40,544.9621282732912
195,40,472.46362508942667
196,40,1585.3444928516678
197,40,3323.052653547813
198,40,3343.4334282419995
199,40,2952.115163034896
200,40,2523.74430277772
201,40,1385.921140640742
202,40,164.8259742448018
97,41,208.2154258522352
98,41,1767.3636208321834
99,41,4508.836055142472
100,41,5974.850731983926
101,41,5677.755586717558
102,41,1898.4874999450699
146,41,1755.5062887923648
147,41,5154.365207469686
148,41,5457.786538883621
149,41,4196.182997542815
150,41,1998.6400491596826
151,41,623.6390900378642
186,41,124.99186973130297
187,41,128.5000282531843
188,41,247.06850093577816
189,41,351.4014927193189
190,41,665.3195685532863
191,41,646.7274984807681
192,41,890.023103581028
193,41,754.8875937397482
194,41,1240.4451130391815
195,41,1624.860007345198
196,41,2819.9055117355906
197,41,4386.610955614397
198,41,4155.734450315173
199,41,3423.49081226469
200,41,2731.01331545234
201,41,1407.450109890064
202,41,164.8324928353458
97,42,110.35479914139867
98,42,930.1521302365238
99,42,2200.206913749445
100,42,2726.863265619091
101,42,2397.7976487603673
102,42,712.7148988760315
146,42,635.5339001435815
147,42,2062.9872930062784
148,42,2313.947447128737
149,42,1801.0557619754052
150,42,712.4924465416591
151,42,137.64103562485562
182,42,164.88485811398735
183,42,184.65242626559882
184,42,169.95169823345063
185,42,266.8022156505383
186,42,371.4445059743548
187,42,350.4381170154302
188,42,412.0257253060331
189,42,569.8142791247575
190,42,862.4229740432537
191,42,784.7915097931984
192,42,1045.034126687596
193,42,1431.0059204994939
194,42,2626.104186440527
195,42,2657.550070891771
196,42,3457.1256606153156
197,42,4702.648560284898
198,42,4086.2280864338168
199,42,3043.974641893813
200,42,2309.1869147308903
201,42,1096.9415765363212
202,42,111.72881729427968
98,43,166.71462925384418
99,43,340.3478535199835
100,43,399.2298361692267
101,43,334.3057662778401
147,43,268.49557938448874
148,43,339.15100163803584
149,43,286.72982976337425
150,43,126.13444488467543
179,43,151.9280370384578
180,43,288.41857092841576
181,43,355.87789452547986
182,43,618.5703012720467
183,43,642.0473085133513
184,43,595.3755431726046
185,43,424.1921000557177
186,43,591.0306169060766
187,43,507.1507008181775
188,43,530.9508339718369
189,43,685.2619063423972
190,43,927.0661673809404
191,43,836.069695146659
192,43,1541.6566584168638
193,43,2687.073929944421
194,43,3662.169628468297
195,43,2986.1963657324504
196,43,2902.6150971650864
197,43,3096.6178629663655
198,43,2192.4187903010193
199,43,1129.0785699684116
200,43,659.0925915621992
201,43,246.0384293420385
176,44,124.8924266379747
177,44,137.63065231114365
178,44,263.0206333193741
179,44,391.63815141416893
180,44,771.2651203835774
181,44,750.1847969229085
