x,y,r
2,2,27843077.127503626
508,2,30780638.96112609
509,2,154577314.55943117
140,124,23546.510962290515
277,124,10569.5078954108
140,125,37287.65972462305
141,125,40575.07201210348
255,125,18735.31095788723
256,125,27612.858966467902
257,125,26977.703070443866
258,125,25792.237653903816
259,125,14963.662734761107
273,125,16575.21266148631
274,125,15610.231423545223
275,125,13822.780751883958
276,125,11245.16124950278
277,125,11229.71350662041
140,126,39027.73121865606
141,126,55332.476445619395
142,126,10352.389045226591
255,126,27543.762290878803
256,126,30217.12899846542
257,126,23430.732097078522
258,126,15207.201712015849
270,126,13485.245892583098
271,126,20659.795121324103
272,126,13374.708297911498
273,126,13491.42453900011
274,126,10475.474053681926
140,127,19948.824753657973
141,127,46168.68511278133
142,127,31587.686471655674
255,127,18453.294148604058
256,127,24272.248627482484
257,127,16064.588917995789
270,127,22874.215342702322
271,127,34701.4687669849
272,127,21372.34272328538
273,127,20446.494223253532
274,127,17484.68137719556
275,127,12000.903162102433
277,127,21428.517354020583
278,127,17222.91874279385
279,127,12231.627032490365
141,128,20923.84368342982
142,128,24089.218130810274
143,128,12805.585731571571
256,128,20031.591110830428
257,128,13330.212268756666
270,128,17218.351071000347
271,128,23118.200214942757
272,128,12594.266209763722
273,128,16807.922481069952
274,128,19086.66414758328
275,128,17222.374174810877
276,128,12417.068930407153
277,128,21902.408923155886
278,128,16608.041468659725
255,129,12278.627649458947
256,129,29814.208101363394
257,129,24767.713551956964
258,129,12721.795204167815
259,129,13671.32516174484
273,129,11983.196797330485
274,129,16480.47606013233
275,129,17397.802588981584
277,129,16330.668964259468
278,129,17847.625033820274
255,130,14917.126311796746
256,130,30372.99867928966
257,130,27281.109335262026
258,130,15997.580376983024
259,130,13138.493336559957
274,130,12618.24168178945
275,130,13050.74713701259
277,130,10499.241442689166
278,130,20578.577605282466
279,130,18733.444562866494
281,130,20332.08897890651
282,130,21636.06443886644
283,130,18120.81141303861
284,130,12304.186905784154
285,130,14112.652203347381
286,130,10158.44564089097
137,131,14424.411560199413
256,131,15330.68647936739
257,131,15390.756762133558
278,131,11570.928741378462
279,131,18179.888309560647
280,131,15854.380117723453
281,131,23294.06624803259
282,131,25699.35236013172
283,131,20957.71094402028
284,131,14890.932411045998
285,131,31050.127341097956
286,131,31466.635450906047
287,131,22184.000096808613
136,132,16655.82070509204
137,132,16789.170775414725
241,132,11241.139238873084
242,132,10518.779023003219
279,132,10479.819409709013
281,132,11358.939168507384
282,132,14386.991724430125
283,132,12151.708851755237
284,132,12096.73835496587
285,132,37072.61346020675
286,132,42781.38705894844
287,132,30357.88473292145
293,132,10254.716373812193
135,133,15960.637171834358
136,133,12223.892454491699
241,133,16820.01604714767
242,133,22253.319428461553
243,133,11253.3618637849
248,133,14223.494207912598
249,133,18709.569437190323
250,133,11751.741463982737
283,133,10685.991979877208
284,133,14925.788530827753
285,133,35886.72092707905
286,133,41970.60822027166
287,133,28187.925157362824
291,133,13299.50492947386
292,133,17894.95735677487
293,133,25377.199145993174
294,133,16652.77598274194
134,134,14932.622898720416
135,134,13952.518378311888
236,134,12249.332113603527
241,134,20150.541700514703
242,134,31676.460624084742
243,134,29529.344756120787
248,134,19992.77205778598
249,134,20452.23067318726
250,134,11975.558780994423
284,134,10409.00714226022
285,134,26023.66703784226
286,134,32608.28625676403
287,134,22571.641953018127
290,134,20257.22224777124
291,134,37567.32340426218
292,134,42488.43227701823
293,134,45449.78249543423
294,134,29171.640946001557
295,134,10799.350220361024
133,135,13900.465104683986
134,135,15207.570589203073
241,135,14519.491089385352
242,135,27424.23011966233
243,135,32146.67862649045
244,135,18696.23442412247
248,135,10184.364706521905
286,135,11438.41142894471
290,135,18714.299593733856
291,135,38024.79070401586
292,135,41243.786227001285
293,135,45027.16546914498
294,135,31931.366614418635
295,135,14444.814899628029
242,136,15174.541663280357
243,136,20690.737172260844
244,136,14522.964182625547
290,136,10234.519990228717
291,136,17033.111310774773
292,136,15943.494265743368
293,136,22238.87622027018
294,136,24377.468801784744
295,136,22658.45111232536
296,136,20436.92074058043
297,136,19778.571223170697
298,136,12404.263690753733
131,137,10107.244831020478
241,137,10058.481465174875
242,137,11398.59202746235
243,137,11539.297846809852
292,137,29577.35888025951
293,137,75123.6572365052
294,137,114456.63538818082
295,137,133446.93799854643
296,137,115233.2498454433
297,137,94631.73235185536
298,137,55833.263438016256
299,137,29108.043177439242
300,137,13153.24161481065
130,138,10132.23754146192
233,138,10834.724725929875
236,138,12038.055941187762
241,138,11286.815657657327
290,138,10161.258856307677
291,138,36839.715491217066
292,138,112748.56476010819
293,138,199765.1217312517
294,138,273432.77236876497
295,138,378461.38738685835
296,138,329893.0901837988
297,138,237362.44277193636
298,138,113724.73116342732
299,138,57153.189453661005
300,138,23967.243402276592
127,139,15598.687173441547
129,139,12506.840462186781
233,139,17886.035815373143
234,139,18123.56866412807
235,139,29708.425208765148
236,139,30754.21395370474
237,139,24417.12123487302
289,139,12590.995106400913
290,139,23674.78787023061
291,139,61354.15777999162
292,139,139762.1379944688
293,139,176816.67831732688
294,139,273832.08432966983
295,139,618586.1173098016
296,139,620309.8555350315
297,139,414226.00593243085
298,139,174198.8065142179
299,139,80345.79555361427
300,139,29393.396474958296
125,140,18988.843877926585
126,140,12908.917830237013
127,140,27774.61495062578
128,140,14876.336880745635
129,140,10936.262998555892
233,140,14288.517759612027
234,140,19945.728548831656
235,140,28441.4411857277
236,140,24298.515606140863
237,140,18850.953714084833
289,140,11540.29518280652
294,140,85336.4924360573
295,140,763238.3311827763
296,140,896398.9014303251
297,140,597519.6302688122
298,140,248554.9118581295
299,140,108560.83299309538
300,140,34067.59898302439
124,141,19542.17606938719
125,141,38155.3175719353
126,141,19954.40013158998
127,141,21456.050318105255
128,141,10457.238638363564
229,141,25263.326231812025
230,141,11310.63530673139
233,141,17782.569275408685
234,141,16276.72971065488
235,141,15372.274821080453
236,141,10210.26352020832
294,141,93154.17801777407
295,141,1004622.9589680815
296,141,1210938.983364561
297,141,795875.3163244231
298,141,317513.6734427395
299,141,133533.54135037685
300,141,43385.74716691669
123,142,13218.3385935814
124,142,31150.231468999278
125,142,34729.957020446454
126,142,13606.49085186379
228,142,21066.47294886876
229,142,41596.201455362316
230,142,25979.24325178231
231,142,19931.482589470914
233,142,11938.210257958242
294,142,262195.7143104093
295,142,1052778.0322971367
296,142,1170804.0043695427
297,142,710785.5657685703
298,142,243107.28581731342
299,142,93990.78715973426
300,142,37347.207525407466
123,143,26610.512918675056
124,143,30242.92698344191
125,143,22906.725023925617
227,143,11599.34413307409
228,143,22871.464218854002
229,143,31982.924269026655
230,143,19009.01010486378
231,143,13612.77591551869
294,143,362378.3543024143
295,143,789501.174910332
296,143,771127.136462745
297,143,422619.38190162316
298,143,128855.018592234
