x,y,r
2,2,2862.126377087349
508,2,2995.0941048536824
509,2,5043.2290908208
141,126,106.30879388426342
293,137,146.32730934058097
294,137,180.35107707404524
295,137,189.0949652670545
296,137,170.60878567774182
297,137,154.48879024051237
298,137,116.96474080268949
291,138,102.52994058680368
292,138,175.62872318548818
293,138,218.7111793773051
294,138,250.05910421398727
295,138,301.5258770948234
296,138,277.6373499425448
297,138,237.542119760702
298,138,161.72083766107295
299,138,117.96709603357678
291,139,102.91093408424777
292,139,152.92221770596385
293,139,168.32559553560648
294,139,212.76038157619692
295,139,361.15348716084804
296,139,380.20465719382406
297,139,323.8493597277379
298,139,207.2340662127684
299,139,139.8028444760061
294,140,142.0627253220704
295,140,385.2434194170266
296,140,461.5504779259122
297,140,402.36819989318474
298,140,255.65023587186735
299,140,161.44639568443188
294,141,156.1694150726925
295,141,449.5097725278742
296,141,553.3732314799265
297,141,475.9741349703578
298,141,287.03917271491423
299,141,173.05695598702167
300,141,102.99547139178557
294,142,208.07850827832308
295,142,482.2129371821224
296,142,568.1033297902237
297,142,459.0823284763078
298,142,239.22136066082598
299,142,133.3049808513059
293,143,107.51725692701388
294,143,245.1882405836747
295,143,441.05726076378045
296,143,470.5529493171737
297,143,339.51275957856967
298,143,156.6994270738253
299,143,100.33072427420902
293,144,115.65723417994158
294,144,254.391138215744
295,144,358.58176893832524
296,144,323.60398410221006
297,144,207.9838083663451
294,145,194.88114015976322
295,145,202.4811757260078
296,145,152.60593751330876
297,145,103.31044909883349
112,150,105.7670827733242
113,150,111.85644844877767
111,151,107.36924104011325
112,151,113.46335826199991
113,151,116.2072848322145
2,155,169.97299956999922
2,156,213.32067983869146
2,157,218.56230434198355
2,158,212.74082840400928
2,159,160.29566995552594
508,159,104.02398897786676
508,160,222.71467375636854
509,160,214.97835654222249
508,161,280.97765941463774
509,161,270.83037575339364
179,162,108.30973285718906
180,162,117.02743411355041
181,162,108.43601404810845
508,162,277.14510198364184
509,162,265.60492195135123
179,163,112.79065356964978
180,163,121.83686064525105
181,163,110.63055631575084
508,163,282.9769256982663
509,163,272.83183519177965
179,164,106.66533897517576
508,164,240.27870166599917
509,164,231.7653144497696
173,165,101.73374966675024
174,165,152.47485468698042
175,165,201.08483622333992
176,165,193.0606039631699
177,165,188.03854995871555
178,165,169.1317307862078
179,165,127.68594923971858
508,165,120.16841432721401
509,165,114.14187066538378
173,166,125.70756103859082
174,166,196.76871827997246
175,166,273.2951610470787
176,166,285.8262386572262
177,166,265.8821505247655
178,166,192.64394232582163
179,166,142.44410978886316
172,167,106.31991154232644
173,167,140.01649051484645
174,167,191.2670154615564
175,167,247.6082908531274
176,167,236.92545409374804
177,167,204.08162723763857
178,167,133.82046429358508
179,167,125.25909192526038
296,167,139.76745836440915
297,167,183.12636031235832
298,167,184.0940639343114
299,167,170.65376805065435
300,167,109.9890647021436
172,168,144.246288247824
173,168,178.91604703041824
174,168,199.0860776757478
175,168,222.6530020328137
176,168,185.27029010003156
177,168,149.85334680066347
178,168,103.06554907527017
179,168,107.8206448133377
295,168,106.61359313294903
296,168,165.85510132489463
297,168,225.39731807167848
298,168,223.78135727730134
299,168,173.7417363538254
171,169,114.78078511635948
172,169,193.59240989464917
173,169,251.36334977975824
174,169,257.63882434820033
175,169,242.14390014049525
176,169,178.92819781115028
177,169,148.8632068881958
178,169,101.07160209129738
179,169,106.37083230976826
295,169,103.18248722524974
296,169,152.18413607916284
297,169,211.9368716387105
298,169,218.8215745323688
299,169,164.0114280913337
300,169,108.33065583006754
403,169,114.00638169642978
404,169,152.8333019941021
405,169,177.17438917632248
406,169,219.6042602211594
407,169,213.30815348003523
408,169,137.64167784692077
169,170,105.99879246769855
170,170,126.73036189120354
171,170,154.15993395876117
172,170,237.2201100797932
173,170,314.880971281833
174,170,325.9815697476588
175,170,278.81606586027266
176,170,178.65424020009553
177,170,167.37903382567168
178,170,121.84673253314176
179,170,126.67576031197191
180,170,107.26758746503221
181,170,110.85028895031864
296,170,105.44157485191715
297,170,169.73372206082647
298,170,206.05193252546476
299,170,192.44991301093867
300,170,149.82546730100185
301,170,122.64140902096388
402,170,110.01556350091208
403,170,226.63443454964474
404,170,297.9239449952201
405,170,333.68329376943325
406,170,360.6630903806681
407,170,319.8975243046128
408,170,206.28693310748315
409,170,116.7862836583654
169,171,210.24438868975486
170,171,274.49298003918585
171,171,253.66576745432207
172,171,262.6103432680192
173,171,296.764305435359
174,171,305.1960189265682
175,171,263.6874400533156
176,171,142.62443968447408
177,171,146.12410294648726
178,171,118.77994336702372
179,171,125.58232093993746
180,171,117.67887695112468
181,171,123.05235095815188
297,171,162.38328396473796
298,171,220.37179979541241
299,171,236.96544906552555
300,171,182.2001047009319
301,171,153.93787107523855
302,171,121.47074254132444
401,171,114.65463262773632
402,171,210.3678550526656
403,171,307.46641602013653
404,171,370.7163703916098
405,171,397.75783622566206
406,171,404.09828717802077
407,171,343.2964582992079
408,171,214.97989282792295
409,171,111.4247854422995
168,172,104.04258735141381
169,172,314.32160055308935
170,172,411.3043378920317
171,172,321.7026553756487
172,172,216.02187784697787
173,172,169.17255345381997
174,172,163.79389265183812
175,172,166.18502425516476
181,172,104.51676574815242
297,172,128.5216034100966
298,172,193.82426001027076
299,172,221.45711276254445
300,172,156.92333768342223
301,172,136.93349438242205
302,172,118.2408245385809
303,172,111.98081549839357
401,172,111.77950479777613
402,172,173.75364589746914
403,172,247.03621959420425
404,172,291.51898605464993
405,172,304.1077291673974
406,172,313.9444109871643
407,172,268.8848110570112
408,172,152.11582750016038
168,173,144.37926730702324
169,173,410.6526986031374
170,173,490.86735352116455
171,173,336.31878758060896
172,173,150.25534486899107
296,173,112.5403821572359
297,173,135.80021497183617
298,173,184.12745507797578
299,173,204.86469002050885
300,173,138.81456356166638
301,173,117.09947846246824
302,173,100.14244586469987
303,173,101.114127112549
348,173,109.03430673330652
349,173,102.764325251674
403,173,129.86146853328782
404,173,167.51850710956703
405,173,165.14858342334958
406,173,185.10292395434453
407,173,184.2229616877332
168,174,199.55223118502983
169,174,483.83935408219526
170,174,525.7673551584506
171,174,340.95002396217865
172,174,138.47573719595053
296,174,121.43695043503531
297,174,146.96394877258058
298,174,178.449602691785
299,174,194.07988001167132
300,174,127.98366805499408
301,174,100.99396692464856
346,174,103.46616184122169
347,174,182.9966177062329
348,174,220.36252269085327
349,174,219.52542228627257
350,174,204.9960213840948
351,174,159.71909412192352
403,174,156.02315512704922
404,174,196.63123704731834
405,174,164.47339187048945
406,174,149.85257082726568
407,174,158.28563373190136
168,175,251.47351368259606
169,175,508.71789757887575
170,175,494.4863097780556
171,175,307.5630684724897
172,175,134.00203787924417
296,175,104.63632532302096
297,175,137.85902856976216
298,175,158.2300110941532
299,175,159.99944981336316
300,175,107.01509827762695
343,175,108.60232839218148
344,175,118.07837891883365
345,175,117.99342979238372
346,175,157.64324829880684
347,175,248.31716272315046
348,175,280.7741042137597
349,175,263.1417132450245
350,175,222.46775111568343
351,175,154.21226630777616
402,175,101.64117838301166
403,175,207.0980016933315
