x,y,r
2,2,28269333.077187475
252,2,30840628.217155736
253,2,155455777.7133206
69,61,12318.21548240658
70,61,59844.14864605304
166,61,12511.613970478764
167,61,50176.16014409682
69,62,63821.45987960725
70,62,215901.99349852646
71,62,111358.51605825592
136,62,12207.226844794292
166,62,13301.92023688773
167,62,20133.389147193404
69,63,61421.20765865117
70,63,265915.72288409667
71,63,128893.84325472295
130,63,21840.12603509317
131,63,12183.403184724884
134,63,17590.368958365645
135,63,33082.577741162226
136,63,40728.47579558975
137,63,38243.629446760766
138,63,26896.093128305016
70,64,130353.98339995363
71,64,79267.01133274104
131,64,15426.822164822355
132,64,12210.926102953916
134,64,10845.266686103194
131,65,11868.10385049466
132,65,13566.371858768098
145,66,42705.94525045372
146,66,57155.62765443344
147,66,45098.21486178261
148,66,26019.60708152985
144,67,113501.0443619053
145,67,250191.93345244008
146,67,276185.562754056
147,67,224899.79616232467
148,67,152214.69164242165
149,67,56555.971976436456
142,68,50369.83326902552
143,68,172627.5797872046
144,68,452595.46439323307
145,68,690330.4476723614
146,68,768272.312475849
147,68,641197.9489222371
148,68,428930.8307686843
149,68,146743.0942268961
150,68,22589.572772740907
141,69,31290.72026365883
142,69,105599.20868354656
143,69,262144.31586901605
144,69,543068.8269548549
145,69,837900.0132342721
146,69,1223822.024885892
147,69,1116270.085571803
148,69,722645.5996481495
149,69,252572.24991474638
150,69,51199.60243393946
145,70,279658.9075481673
146,70,1212173.540046307
147,70,1318046.2306271258
148,70,894277.368150725
149,70,391251.31579134037
150,70,109326.5045800261
146,71,1400487.1528800111
147,71,1638543.338723319
148,71,1128172.1683957404
149,71,564177.5665515731
150,71,177117.37563925583
151,71,13368.860908499682
145,72,107334.99119885021
146,72,1992167.9137367485
147,72,2125249.2567020184
148,72,1350590.9734268386
149,72,616520.518605673
150,72,174353.14457146387
151,72,12386.856001566095
145,73,326044.843625209
146,73,1599656.407614429
147,73,1347864.796175676
148,73,677468.9767352547
149,73,220415.2701022855
150,73,19609.22544996963
144,74,37199.25262055558
145,74,262901.9314508656
146,74,621335.6316202113
147,74,327950.46584211115
148,74,86272.83826368817
143,75,11784.215995475693
144,75,40480.21616096426
145,75,65786.74720148646
146,75,43206.5556309424
187,75,10471.886464740186
186,76,16233.01416872885
187,76,46457.56231446557
188,76,63294.653795200036
189,76,51154.28952002505
190,76,26992.298224784223
2,77,219447.15312890708
188,77,18235.292821588286
189,77,34220.89201986104
190,77,51229.69385014949
191,77,53364.18682931125
192,77,34276.73261957236
193,77,10222.330656590857
2,78,269142.94796344056
185,78,25284.787763995235
186,78,51004.219906011014
191,78,10547.137528108899
192,78,65834.68271112585
193,78,86681.74637505175
194,78,86666.08682287202
195,78,50079.14662457857
2,79,307173.12985902885
45,79,17662.405161415736
46,79,28701.96118145696
47,79,15720.226050222045
185,79,56243.74280530744
186,79,92389.78205411806
194,79,64436.39299477733
