x,y,r
2,2,2884.4120238518003
252,2,2997.772747270944
253,2,5057.265201801259
166,60,109.37469068142998
167,60,111.16265882074006
70,61,126.47651264991474
71,61,114.37991175488933
166,61,120.20072460043222
167,61,133.53923236899334
168,61,110.03592894792975
69,62,136.3290859750463
70,62,195.07725602298942
71,62,164.73057180520667
127,62,106.21781512412623
128,62,114.35682614713815
129,62,114.04163126397277
130,62,106.16763672720296
136,62,104.06662992072819
167,62,105.92550841073772
69,63,153.82872422600286
70,63,214.17656394112336
71,63,169.56731710185173
127,63,101.71700222661462
69,64,114.35702280016449
70,64,161.48971591021012
71,64,130.94561437586924
144,67,138.69429226116975
145,67,231.05104381720497
146,67,256.8028598753811
147,67,241.93129560449592
148,67,206.23619795661057
149,67,126.12580590448846
143,68,186.00453931503785
144,68,312.8942448244373
145,68,382.129565979781
146,68,404.1341468895486
147,68,370.453048498353
148,68,306.7871721200957
149,68,177.77310271998078
142,69,131.9718873248078
143,69,207.28081319271445
144,69,298.4679914138916
145,69,374.55572616801805
146,69,478.10269869679854
147,69,476.147043321702
148,69,398.481126870818
149,69,241.653395706932
150,69,111.26600579183065
143,70,115.74831158993678
144,70,167.8667962194795
145,70,242.81509617940068
146,70,454.2779686754818
147,70,513.4798300177704
148,70,454.43483185859003
149,70,324.98832139254375
150,70,177.10510124160905
145,71,175.2764368870721
146,71,490.9859103512197
147,71,585.709250768914
148,71,524.7523544729297
149,71,403.81079053051616
150,71,223.1375581627222
145,72,205.9562941803556
146,72,627.1766072619995
147,72,718.7597298416193
148,72,612.9728995633398
149,72,425.7877636959655
150,72,200.68609243620185
144,73,114.34761994686204
145,73,232.87604119319363
146,73,604.9282798067766
147,73,584.733661434295
148,73,413.6064679345859
149,73,206.42468398998355
144,74,110.83540581499312
145,74,215.11366550156154
146,74,370.31277289619374
147,74,239.88244592411556
148,74,118.92137401575492
145,75,117.91771275737128
2,76,240.8347368025767
188,76,109.37859659386227
2,77,288.02691798093707
2,78,285.7880651446255
185,78,125.28536672171298
186,78,126.64155494752458
192,78,108.03350648948883
193,78,119.44502782284428
194,78,120.2713688879568
195,78,104.36643511851278
252,78,189.9363655568811
253,78,194.3441432459337
2,79,282.2321771057356
185,79,142.0926284002554
186,79,145.33312363248564
194,79,114.37957773402975
195,79,136.896752539089
196,79,133.4627650239374
197,79,126.43500848927508
198,79,125.82100007552846
199,79,107.40242714286019
252,79,295.2281597113258
253,79,302.4897568975529
2,80,213.4970522940275
89,80,100.7794468265976
184,80,102.6411149686074
185,80,141.3875788508486
186,80,145.2156864178568
195,80,126.75390219588738
196,80,151.07316932857756
197,80,160.95919011795934
198,80,173.8252914447496
199,80,161.22399278888423
200,80,121.31584016503726
252,80,296.8495779355125
253,80,301.31464254142486
86,81,175.11318707769888
87,81,258.6025090109278
88,81,301.7498721463477
89,81,314.05890069738274
90,81,258.6301070319524
91,81,136.73977245035172
185,81,127.57623223488068
186,81,131.72148877644722
197,81,111.11768152064961
198,81,137.78172002866006
199,81,147.92329336444604
200,81,132.27046324616646
201,81,123.37398636998196
202,81,122.99999216855853
203,81,109.16390458222975
252,81,305.7908739328164
253,81,311.16477506437707
85,82,128.69475902225378
86,82,286.5118679927046
87,82,419.18559026264705
88,82,492.4380736837019
89,82,517.6339190051024
90,82,468.80303408262625
91,82,306.20008585357965
92,82,128.71354981684908
148,82,116.73261731518951
149,82,126.47337159027092
150,82,114.18825570746935
198,82,116.61302958143884
199,82,132.42900439967826
200,82,127.66035813175853
201,82,121.37875535692413
202,82,119.30958619667705
203,82,106.64382498034804
252,82,293.15547774283374
253,82,299.47052926383384
85,83,197.04739114400212
86,83,358.4603981228783
87,83,483.7470270165998
88,83,537.7105796547232
89,83,510.73335156582846
90,83,444.2862299530814
91,83,281.91676811309964
92,83,119.75818633907816
147,83,151.37999145137013
148,83,211.03923528572406
149,83,239.57033307901642
150,83,215.13286847801012
199,83,125.841450868131
200,83,167.6151162735143
201,83,211.4327314751029
202,83,227.0225919662441
203,83,213.43405137387577
204,83,194.44073809858617
205,83,161.01299362418226
206,83,113.06377091825983
252,83,149.7023669107518
253,83,148.14180668584208
83,84,244.53273051428476
84,84,346.95280449003656
85,84,364.36501787549935
86,84,359.0783878924123
87,84,354.43070839330716
88,84,361.9397575110264
89,84,272.8502443740756
90,84,224.0412411816466
91,84,134.72240496485853
146,84,107.87548238334222
147,84,194.93911395705513
148,84,306.77737318950153
149,84,382.7058026732077
150,84,342.31660273190187
151,84,120.01559374538569
198,84,100.64294255367973
199,84,226.92525141767996
200,84,364.05990177876686
201,84,473.8937245323028
202,84,504.9405779637015
203,84,458.38795385959884
204,84,371.0774861856586
205,84,261.0945998658389
206,84,138.3221192534887
83,85,483.6261978139039
84,85,650.0044085565365
85,85,545.5136207374284
86,85,345.80699160618457
87,85,260.2168570804935
88,85,265.1110634054788
89,85,118.31529042387031
90,85,113.42579658656429
147,85,211.14990589294186
148,85,405.8890924156003
149,85,558.1473142200191
150,85,491.1387027733415
151,85,132.16037989796948
173,85,158.19232428887133
174,85,182.2305158232542
175,85,175.5791928431513
176,85,142.1444571172696
198,85,245.02935527739572
199,85,463.2192770269836
200,85,589.7137749702096
201,85,654.5887129206479
202,85,633.3988203201162
203,85,500.2996997177716
204,85,343.9092844090765
205,85,214.22353155473996
206,85,100.24872021058403
82,86,158.5157438551984
83,86,718.4006555427849
84,86,888.5019555310978
85,86,711.493853999475
86,86,459.2271279737579
87,86,379.80868177062126
88,86,402.44228503651254
89,86,153.99869235426857
90,86,110.63540087284656
147,86,211.35127407085335
148,86,453.62209940816024
149,86,659.0409219673292
150,86,565.233601345131
151,86,123.28509619220736
172,86,205.59381316793957
173,86,350.4948007483182
174,86,396.18693964985835
175,86,398.1278215438065
176,86,347.89280850996806
177,86,225.06230558215714
197,86,129.39693340081206
198,86,300.932491676866
199,86,462.385160518542
200,86,576.75155787304
201,86,633.1419994389942
202,86,601.6211362091605
203,86,452.28156351380284
204,86,289.7419700583472
205,86,155.5348363198085
82,87,251.4116845439959
83,87,930.9037899891632
84,87,1055.0856224013392
85,87,786.8545050791158
86,87,443.0468799403613
87,87,291.8451558412198
88,87,354.5144408899997
89,87,169.0292561239658
103,87,108.38458245081561
144,87,116.0668479342915
145,87,143.39419050902418
146,87,124.3307995762301
147,87,221.39715287753984
148,87,465.9561655806559
149,87,693.7394891266274
150,87,551.174480214471
171,87,128.6971769932093
172,87,253.6884304136551
173,87,430.79351121836623
174,87,492.83177591649957
175,87,517.3833218656964
176,87,469.82862463891524
177,87,316.4842010942122
178,87,142.076252652318
198,87,102.53139027093323
199,87,151.5397970696418
200,87,220.3209601076675
201,87,263.85193984271183
202,87,274.06563034358044
203,87,235.8205801954054
204,87,173.6129894349543
82,88,336.701991270176
83,88,1064.7946422981686
84,88,1131.7599407475598
85,88,814.1408709527788
86,88,429.37832961981184
87,88,196.20618897865
88,88,167.4263140860896
89,88,128.8243531444472
102,88,190.32732867814676
103,88,248.76582385329183
104,88,189.58252978756514
144,88,181.9941729584396
145,88,254.01354095813585
146,88,196.27884996423552
147,88,216.78977375036305
148,88,416.5714349241272
149,88,635.7617149708498
150,88,467.16143894907646
171,88,113.7773374422843
172,88,214.952018709624
173,88,361.8799375969912
174,88,410.15416907143424
175,88,409.4995976497066
176,88,317.29647225089906
177,88,157.16992585788248
201,88,113.84458309933434
202,88,127.16546573679798
203,88,119.52268257229545
204,88,110.42523730169472
51,89,110.64743106590366
52,89,102.653348340018
82,89,391.03596684512837
83,89,884.6044642180601
84,89,809.5451687684556
85,89,549.7474101633005
86,89,290.1145799469469
87,89,129.07459554117318
101,89,114.915968061448
102,89,218.6054881200978
103,89,281.41748539665787
104,89,218.7639653460526
105,89,100.76886353666487
144,89,191.82469736042393
145,89,267.18527368869826
146,89,199.24070469217764
147,89,177.70284385582593
148,89,319.40140290401087
149,89,506.4470354353191
150,89,345.5169948604065
172,89,122.05980965579936
173,89,210.8525164737426
174,89,216.17634168340123
175,89,170.44449843798668
200,89,124.16478278846527
201,89,141.0751221222278
202,89,137.80605332250113
203,89,113.96975632165163
49,90,160.8559946249009
50,90,257.03489376375825
51,90,307.0715633683973
52,90,290.72348170636934
53,90,160.58486572435882
82,90,258.18005591550923
83,90,280.5151346476706
84,90,203.49130208295958
85,90,129.3183587115744
101,90,114.60411692780069
102,90,220.62669883137542
103,90,286.2486423816123
104,90,227.8274469989319
105,90,110.46152693783125
144,90,160.37250043281455
145,90,227.99681720132537
146,90,178.34874931914868
147,90,125.59554226643793
148,90,187.47748060619782
149,90,315.0680779678722
150,90,190.14042411259746
173,90,127.36667803683576
200,90,117.75146632805824
201,90,119.6365842128238
48,91,139.3463082787576
49,91,301.8033452998807
50,91,447.6082039672293
51,91,524.6185370830838
52,91,512.6860751031564
53,91,319.1872279550534
101,91,121.66888668744728
102,91,231.6105067211514
103,91,290.3924599301208
104,91,229.38417496018
105,91,114.86180263680552
145,91,151.6243041986679
146,91,130.0367345302673
148,91,104.26852876607366
149,91,174.4275663332865
200,91,100.80418257276277
48,92,190.3470617144458
49,92,402.076139829443
50,92,587.7109439540754
51,92,692.3361042992145
52,92,702.558472772343
53,92,510.51911941768805
54,92,177.29714871349105
101,92,105.77914490691816
102,92,178.7077776882581
103,92,205.54118017796677
104,92,161.73711798928778
191,92,106.42288821649545
