x,y,r
96,6,17.30545780311067
97,6,40.92865687351053
98,6,62.18264726882717
99,6,81.96280196397811
100,6,86.77403471128127
101,6,65.75127520421938
102,6,35.66697949690479
103,6,10.624646393167495
196,6,8.719071980338413
197,6,28.184129014192877
198,6,51.56357099348861
199,6,64.22064173633498
200,6,59.514935183153284
201,6,45.06658400999322
202,6,29.73783484704245
203,6,15.08850326305884
204,6,4.781148733257034
96,7,38.77923186450362
97,7,159.92470533912353
98,7,321.1726236946647
99,7,479.1714819796762
100,7,564.2524747417501
101,7,445.1489291660273
102,7,248.9376993916958
103,7,79.96950918663788
196,7,69.16859312837187
197,7,205.22356692786525
198,7,350.5504084766344
199,7,417.4635519593994
200,7,350.155374287433
201,7,247.36286180883508
202,7,149.58024845702926
203,7,67.7336708543844
204,7,16.954883516001047
206,7,1.583865695867209
207,7,1.2876303670217752
96,8,62.73668293493203
97,8,328.6448869006109
98,8,848.2803532476901
99,8,1456.4398961986963
100,8,1847.0798364397942
101,8,1492.943187302948
102,8,846.2378908456121
103,8,282.04471187997115
196,8,251.11670083292483
197,8,729.5894366040957
198,8,1234.981831501882
199,8,1461.19086947723
200,8,1206.6720115622775
201,8,835.2949854268445
202,8,476.0041545561353
203,8,190.87998456428613
204,8,39.03419234023494
205,8,1.5280483359673442
206,8,2.153665044844007
207,8,1.730586093205509
208,8,1.0572854196683104
96,9,79.01056411596262
97,9,470.84470186694494
98,9,1425.7835732122253
99,9,2863.560615157466
100,9,4083.1784663294984
101,9,3447.4332513592744
102,9,1979.8049489797995
103,9,669.7301562116481
149,9,1.0095207830563595
150,9,1.515029484326078
151,9,1.427897919085808
152,9,1.2498048813249625
153,9,1.2130737681509345
196,9,615.4793698441754
197,9,1769.4157842021377
198,9,2956.7533985311748
199,9,3434.3776764069407
200,9,2778.981848300149
201,9,1830.7869721834168
202,9,948.1046854569963
203,9,332.9548219436065
204,9,57.9638858597943
205,9,2.256697873594543
206,9,1.4887516708648845
96,10,84.18350168154032
97,10,547.995464518136
98,10,1803.791808624606
99,10,4036.220734254715
100,10,6747.767826860776
101,10,6346.991943716508
102,10,3693.064513864705
103,10,1237.2909156334572
145,10,1.2760895014762355
146,10,1.9100166322095902
147,10,1.8617270279864897
148,10,2.027628063740849
149,10,2.2679066134987806
150,10,3.1226454258940066
151,10,2.867900732144335
152,10,2.709462224964227
153,10,2.544517018224724
154,10,2.0315241213538684
196,10,1231.2894257520093
197,10,3844.3901216384293
198,10,6965.555734562662
199,10,8931.151165328009
200,10,8308.941557334438
201,10,5366.66105289796
202,10,2504.2381992038518
203,10,779.386695462996
204,10,119.7908835217367
205,10,1.862218137677957
206,10,1.0543702168183435
96,11,66.83809571707152
97,11,435.52252495773854
98,11,1460.3072474159605
99,11,3382.469748718473
100,11,6288.030964606029
101,11,7854.066357018917
102,11,5253.196575165732
103,11,1789.427815980005
145,11,19.083966310074175
146,11,55.24829301108184
147,11,96.04175056900203
148,11,120.91971080491567
149,11,130.03599822492106
150,11,112.43296611931873
151,11,77.62721309951303
152,11,38.48785301722455
153,11,13.217558574466238
154,11,2.6894972490954387
196,11,1658.2452883895166
197,11,5280.425387255673
198,11,9857.08272635734
199,11,13507.066435761135
200,11,12102.81725809324
201,11,6794.873248905441
202,11,2977.419712231709
203,11,896.0275574493245
204,11,134.13958135767717
205,11,1.5351545779521967
96,12,36.66808811017193
97,12,239.5849086882456
98,12,815.9476883886946
99,12,1910.6264812352053
100,12,3603.024130120473
101,12,5176.452615697312
102,12,5684.047368436799
103,12,2270.6315952816913
104,12,1.07451913269324
145,12,113.56113418315363
146,12,340.03765509386903
147,12,602.5831367984283
148,12,750.7348098257662
149,12,787.6411701709767
150,12,702.3719106617646
151,12,504.30063303075076
152,12,260.5755011427791
153,12,84.2188814694673
154,12,3.114591225676122
196,12,1770.52951907432
197,12,5526.927027897229
198,12,9973.241334173188
199,12,12294.67654636305
200,12,10098.187897412128
201,12,5956.131854626924
202,12,2662.131074063214
203,12,805.8667165078256
204,12,120.42666918564451
205,12,1.3802136794685733
206,12,1.0530658207241335
62,13,1.322955501641168
63,13,1.5224669434390776
64,13,1.2082394691177143
96,13,13.768238024654881
97,13,84.83947489233424
98,13,285.60134070162724
99,13,658.1890230216551
100,13,1208.8185440741975
101,13,1760.3237349292324
102,13,2247.736977360606
103,13,2332.274837913665
104,13,1.3113357229372014
142,13,1.0164531669279313
143,13,1.154918314060069
145,13,361.7702749213495
146,13,1068.9787796442638
147,13,1656.1057102668879
148,13,1830.6716251715134
149,13,2009.3647848529117
150,13,2079.8515028294805
151,13,1599.1655739394737
152,13,873.0907676537208
153,13,293.074735769831
154,13,2.702078611469915
196,13,1548.80947814701
197,13,4568.850914375045
198,13,7637.993994740982
199,13,8564.09900577148
200,13,6670.185318927139
201,13,4055.6891716685227
202,13,1883.4959869373395
203,13,589.5222171695045
204,13,91.54538513573443
205,13,1.585380661166148
206,13,1.3613075856643175
2,14,3.4024714058653274
3,14,1.1814836484747957
60,14,1.0460982869060729
61,14,2.9697774622427033
62,14,4.555546793057658
63,14,5.207175087585213
64,14,4.112291351499714
65,14,2.818912619043335
66,14,1.6300501449479405
97,14,1.0727706411849793
98,14,1.2865350620116214
99,14,1.412815331354192
100,14,1.2845906078509046
145,14,1.0675290036326948
146,14,69.51216211755388
147,14,432.67102113367736
148,14,1386.152703107624
149,14,2865.484202782312
150,14,4210.534264909181
151,14,3562.0811825903293
152,14,2024.4525187912077
153,14,687.9194056081978
154,14,1.9800852159933129
196,14,1062.4643818896002
197,14,2845.493950857788
198,14,4304.626167842493
199,14,4344.706894702085
200,14,2738.4426849427073
201,14,1507.4254928708651
202,14,677.1702671080761
203,14,213.41798360555094
204,14,35.230081724180735
205,14,1.3760406652684338
206,14,1.3540545114393496
2,15,7.9771359222792455
3,15,2.754742646732666
60,15,2.4609477944233475
61,15,7.075232532505879
62,15,10.905623681882716
63,15,12.420916222368604
64,15,9.893998491038083
65,15,6.590149895137095
66,15,3.5449431122197357
67,15,1.3832922666347742
97,15,1.1729061067490234
98,15,1.4080797126660498
99,15,1.5129372991629872
100,15,1.313538549187729
145,15,1.1587964071277632
146,15,75.74733046279948
147,15,512.5211140341128
148,15,1747.5423225629638
149,15,3997.943291871082
150,15,6863.019326627899
151,15,6537.12368944576
152,15,3807.1408384244933
153,15,1277.679146928309
154,15,1.182581275857956
196,15,579.7336709716037
197,15,1539.289260321304
198,15,2351.759179715733
199,15,2426.6225876458393
200,15,1484.940883235533
201,15,798.2713431442753
202,15,355.47292916556626
203,15,111.89876238497607
204,15,18.725766817791126
2,16,15.01225613317753
3,16,5.094011801859438
60,16,4.635134312917415
61,16,13.75713618974325
62,16,21.589771859842017
63,16,24.4983649807362
64,16,19.658309600767797
65,16,12.440606288674456
66,16,6.1211963221038586
67,16,2.1845575211568384
97,16,1.272757659953668
98,16,1.4502462202214224
99,16,1.5207987870854929
100,16,1.278056524310602
145,16,1.0427180302505494
146,16,57.775491676087725
147,16,401.63838300330974
148,16,1398.7822925525925
149,16,3327.366521308554
150,16,6303.610945324231
151,16,8001.450074784964
152,16,5435.309872711236
153,16,1853.9653490174223
196,16,244.7655315528027
197,16,652.460713747867
198,16,1009.5608549251338
199,16,1064.1030971909586
200,16,645.4057032436012
201,16,341.56061915822465
202,16,151.6460077683705
203,16,48.29173166091516
204,16,8.476305808655368
2,17,21.386735927257007
3,17,7.354379450653049
60,17,6.728454920850446
61,17,19.78773635065312
62,17,29.100845227701527
63,17,28.608981793283867
64,17,20.417964713560742
65,17,11.885123810250068
66,17,5.505523756629198
67,17,1.8876784904539352
146,17,30.744175773670047
147,17,225.18187523282393
148,17,794.8063971918965
149,17,1912.22075324073
150,17,3659.257127141558
151,17,5281.5395479884555
152,17,5855.320471366842
153,17,2356.272375423723
196,17,69.77656606846722
197,17,188.33654879921596
198,17,294.291038004445
199,17,317.3341179977233
200,17,196.27363005139023
201,17,105.162299737382
202,17,48.204526812151244
203,17,16.24696428315741
204,17,3.265700607240362
2,18,23.17787942504259
3,18,9.310048650887971
60,18,8.541138654396782
61,18,22.429540939902175
62,18,23.9372023918841
63,18,19.30193083232077
64,18,12.980575193461876
65,18,7.29093818697128
66,18,3.2942949132457446
67,18,1.1111785507841438
146,18,9.233077222622368
147,18,72.4661107677284
148,18,261.804665727373
149,18,637.0120644257057
150,18,1210.929505315692
151,18,1788.9119227584697
152,18,2302.321454477543
153,18,2418.333500700005
196,18,8.998435556733966
197,18,24.848856487941703
198,18,39.40084310620341
199,18,43.15343558293284
200,18,25.577474632460508
201,18,12.402488124489537
202,18,4.869787262404657
203,18,1.2558008709850412
2,19,9.310048650887975
3,19,9.53821376220251
60,19,9.044102205267404
61,19,10.322476055345174
62,19,8.915553463508367
63,19,6.954859426111811
64,19,4.720030666795585
65,19,2.64741849391387
66,19,1.1899328051255342
2,27,9.172279006411324
3,27,9.538213762202535
60,27,9.063439461734877
61,27,10.179653944793534
62,27,8.785125401409617
63,27,6.805116515950123
64,27,4.572497398965749
65,27,2.4874376165671674
66,27,1.0595590931972283
2,28,22.974691207309213
3,28,11.465460204602692
60,28,10.341530705190468
61,28,22.268414426535543
62,28,21.535358006988407
63,28,16.771352098321646
64,28,10.643678664421376
65,28,5.652265881419851
66,28,2.3950658598077696
2,29,30.263477390445612
3,29,12.931931240829066
60,29,11.568730229740268
61,29,26.843321339978495
62,29,28.972006473554522
63,29,22.847199479622684
64,29,13.112689244285097
65,29,6.596509596159866
66,29,2.734897571803385
2,30,36.0255787737847
3,30,15.781864735588812
60,30,14.128848051347617
61,30,31.0121948838376
62,30,32.81994266205829
63,30,24.858618584020626
64,30,12.197749482614181
65,30,5.454864397741204
66,30,2.107172355318143
2,31,43.24697480394432
3,31,20.242757677185693
60,31,18.31769336176002
61,31,37.41077815709146
62,31,37.617023402432075
63,31,27.38043876868968
64,31,12.395718723449704
65,31,5.16783092628275
66,31,1.9029776097785813
2,32,52.57136488872354
3,32,27.28217559540427
60,32,25.572663776366255
61,32,49.929775543597266
62,32,47.96993985278381
63,32,36.183179507779606
64,32,20.726465502733202
65,32,10.459393415388366
66,32,4.321140461384004
67,32,1.1376313837265157
2,33,46.88862330092289
3,33,32.802844983169706
60,33,31.332914178548208
61,33,48.58277700776263
62,33,43.02520688697797
63,33,32.57044787326052
64,33,20.12236621159999
65,33,10.562319487441048
66,33,4.424461150949028
67,33,1.1939110766135002
2,34,27.620720675993006
3,34,29.658685482576047
60,34,29.54238703954189
61,34,30.33076583601323
62,34,25.901229594312202
63,34,19.746499219776904
64,34,12.743687624459682
65,34,6.817830490972015
66,34,2.8723223316947264
2,35,9.355544577235149
